#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      341.1   221.1   160.7   229.4   244.2   319.3   358.3   381.1   398.3   419.8   447.0   490.0   593.0  2501.9  8661.0  29977.5    30000  1713544081302  1713544091466
read      369.4   279.0   160.7   230.6   247.0   334.4   379.2   405.6   427.1   453.0   488.8   558.5   857.7  3740.5 10679.9  29959.0    30005  1713544092977  1713544103123
read      372.9   416.4   160.7   229.7   244.8   330.9   377.4   405.3   427.3   453.7   488.7   548.3   777.0  7031.0 16462.1  29968.1    30010  1713544104634  1713544114754
read      382.1   567.0   160.7   236.2   249.3   330.4   375.3   403.3   426.0   453.5   490.3   554.2   796.9  9614.5 23417.2  30035.3    30015  1713544116265  1713544126386
read      355.8   301.2   173.5   228.2   242.7   324.9   368.6   394.9   414.8   438.2   470.5   524.4   682.1  4760.7 11629.6  29950.4    30020  1713544127896  1713544138012
read      330.1   251.1   173.5   228.5   240.9   302.1   336.6   359.9   377.8   400.8   431.7   478.6   607.5  3294.2 11763.6  29972.7    30025  1713544139521  1713544149639
read      349.8   370.0   173.5   229.9   242.9   312.1   350.8   375.3   395.7   420.6   453.7   504.6   665.3  6129.8 15252.7  30130.9    30030  1713544151149  1713544161271
read      334.7   353.5   173.5   224.9   237.6   300.2   336.8   361.1   379.9   403.5   435.3   485.5   615.6  4827.6 15991.2  30083.6    30035  1713544162783  1713544172911
read      345.6   274.4   173.5   232.5   245.0   315.8   355.8   380.3   399.0   423.1   454.7   503.1   632.6  3862.4 11932.3  30060.5    30040  1713544174420  1713544184536
read      330.4   270.6   173.5   227.2   239.9   300.5   334.1   356.8   374.3   398.0   428.6   474.0   595.6  3870.6 10194.0  30098.4    30045  1713544186045  1713544196161
read      360.5   358.8   160.7   230.0   244.3   323.0   366.9   393.8   414.2   438.7   472.1   529.1   715.2  6331.7 12618.9  30000.7    30050  1713544197670  1713544207787
read      343.0   212.0   160.7   230.4   244.7   319.7   359.4   383.4   401.1   424.4   454.2   499.9   630.9  1898.1  9684.7  29993.1    30055  1713544209298  1713544219422
read      344.4   199.5   160.7   230.9   245.6   322.8   363.2   387.2   404.2   427.4   456.9   501.9   617.0  1682.0  8137.2  30089.3    30060  1713544220933  1713544231051
read      337.3   216.2   160.7   225.9   240.7   315.4   354.3   377.6   396.2   418.4   446.6   491.1   597.9  1844.8 11220.0  30006.0    30065  1713544232560  1713544242678
read      338.7   186.9   160.7   230.2   244.4   317.7   356.0   378.9   396.8   418.7   446.8   491.3   601.8  1799.0  8449.1  30096.1    30070  1713544244188  1713544254311
read      338.9   231.6   160.7   229.4   243.6   316.7   355.1   377.9   395.7   417.2   444.9   489.0   594.6  1874.0 11934.2  30028.0    30075  1713544255822  1713544265944
