#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      343.6   192.1   160.7   231.5   246.5   324.2   363.9   387.2   403.4   425.3   452.6   495.3   595.1  1745.5  8262.9  29909.0    30000  1713543722215  1713543732385
read      359.4   276.1   173.5   234.2   247.9   322.7   365.3   392.1   412.4   436.9   471.3   535.2   822.1  3840.3 11142.8  30058.2    30005  1713543733895  1713543744034
read      361.3   412.3   160.7   230.3   243.8   316.8   359.6   386.7   406.8   433.0   466.8   523.5   738.0  6587.6 13514.0  30105.3    30010  1713543745546  1713543755655
read      375.5   563.6   160.7   229.3   243.7   321.2   366.3   394.8   417.0   444.5   481.3   544.4   789.4  9147.5 22096.9  30023.5    30015  1713543757168  1713543767289
read      327.9   269.2   160.7   224.3   237.0   297.9   333.6   356.9   374.7   398.8   430.6   477.9   593.5  3823.5 10205.2  30021.0    30020  1713543768799  1713543778921
read      331.4   296.3   173.5   231.8   242.8   300.4   333.7   356.1   373.4   396.7   426.9   471.2   599.9  4165.2 12283.1  29919.5    30025  1713543780430  1713543790545
read      342.4   293.8   160.7   222.8   235.7   309.1   350.5   376.3   396.7   421.7   454.2   505.2   651.2  5317.1 11137.0  29992.2    30030  1713543792057  1713543802174
read      345.0   248.8   160.7   237.2   248.6   315.4   353.4   378.0   397.5   421.7   453.4   502.3   640.3  3749.0  9995.9  30062.9    30035  1713543803686  1713543813803
read      346.3   335.1   160.7   232.8   245.5   313.4   350.4   374.7   395.0   419.5   451.7   500.6   636.9  4498.0 15017.7  30084.8    30040  1713543815314  1713543825438
read      354.7   288.8   173.5   236.6   249.2   324.1   366.2   391.7   410.6   434.0   465.8   516.0   654.5  4007.7 11694.5  30063.9    30045  1713543826948  1713543837064
read      335.8   311.0   160.7   224.1   237.6   304.4   340.8   365.4   384.7   408.1   440.7   491.4   625.3  4205.6 13062.0  30019.2    30050  1713543838573  1713543848687
read      351.9   318.7   160.7   231.2   244.6   317.1   357.7   383.1   402.2   427.4   459.4   509.6   728.3  4793.8 11069.6  30088.5    30055  1713543850196  1713543860312
read      337.2   210.5   160.7   226.6   241.1   315.3   354.4   377.6   395.7   417.4   445.7   490.6   598.9  1874.7  9309.4  30047.4    30060  1713543861823  1713543871944
read      344.8   203.2   160.7   237.3   251.2   323.8   362.7   385.9   402.5   424.8   452.9   496.0   599.7  1471.3  9868.7  30011.9    30065  1713543873454  1713543883578
read      342.8   187.2   160.7   236.4   249.9   322.7   361.0   383.9   400.6   422.5   450.3   494.0   595.5  1320.4  8533.6  30066.9    30070  1713543885087  1713543895205
read      344.6   204.5   160.7   230.8   245.3   320.5   361.2   385.9   403.7   427.4   457.3   503.6   633.8  2203.8  8686.2  30038.4    30075  1713543896714  1713543906835
read      342.9   224.3   173.5   235.2   248.0   319.6   358.5   381.6   399.1   421.5   450.0   494.3   609.8  1908.8 10018.6  30012.2    30080  1713543908344  1713543918466
read      336.5   217.9   160.7   224.8   239.4   313.7   352.2   375.6   394.2   416.2   445.0   491.5   609.7  2033.4  9226.0  30043.1    30085  1713543919975  1713543930092
read      342.6   201.5   160.7   236.2   248.9   320.9   360.0   383.4   400.6   423.0   451.2   494.5   601.8  1652.3  8419.7  30089.8    30090  1713543931601  1713543941717
read      345.2   213.8   160.7   233.1   247.0   321.4   361.1   385.1   402.4   425.8   455.3   499.9   622.7  2486.7  8477.0  30141.0    30095  1713543943226  1713543953348
