#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      378.1   216.2   173.5   246.7   262.7   350.0   396.8   425.1   446.5   471.9   508.8   568.4   728.4  2243.3  9140.8  30012.0    30000  1713345786842  1713345797008
read      373.9   251.3   173.5   244.0   260.2   346.9   392.8   420.1   440.3   466.9   502.9   557.7   683.9  2460.6 11837.1  29964.3    30005  1713345798517  1713345808658
read      372.8   235.8   173.5   245.2   261.2   345.6   390.7   417.9   437.8   464.4   499.8   553.0   707.2  2457.2  8674.5  29956.7    30010  1713345810168  1713345820281
read      373.5   251.4   173.5   245.0   261.4   346.2   391.2   417.9   437.2   464.0   499.9   553.8   689.6  2139.8 10737.7  30045.0    30015  1713345821791  1713345831913
read      371.3   217.1   173.5   245.4   261.7   346.6   391.4   418.1   437.4   463.9   498.4   549.1   669.0  2156.6 10057.4  30029.9    30020  1713345833423  1713345843536
read      382.1   240.7   173.5   246.0   262.6   353.1   400.3   429.3   452.0   479.4   517.0   577.6   757.3  2411.0 11257.0  29962.7    30025  1713345845044  1713345855155
read      377.8   694.8   173.5   244.7   261.2   349.5   395.4   423.0   443.8   469.7   505.7   561.5   693.1  2131.8 10731.4  30000.6    30030  1713345856662  1713345866776
read      376.3   253.0   173.5   244.2   260.5   347.5   394.3   422.9   444.5   471.0   508.6   567.0   712.3  2562.1 11734.6  30026.9    30035  1713345868285  1713345878396
read      375.5   267.3   173.5   245.4   261.7   348.1   393.4   420.4   440.2   466.1   501.2   553.6   685.6  2840.4 12420.6  30105.7    30040  1713345879904  1713345890017
read      376.7   253.7   173.5   248.5   264.3   350.2   395.0   422.0   442.0   467.9   503.6   558.1   692.7  1929.9 12804.1  30050.7    30045  1713345891524  1713345901641
read      382.5   228.8   173.5   247.2   263.5   352.8   399.7   428.8   451.3   478.5   516.6   577.8   796.5  2126.6 10254.0  29989.0    30050  1713345903149  1713345913264
read      380.7   237.7   173.5   244.2   260.6   350.1   398.1   427.8   451.1   479.8   518.7   578.9   768.9  2709.2  9493.2  30003.2    30055  1713345914775  1713345924892
read      397.1   275.8   173.5   249.3   265.8   361.2   412.5   444.4   468.9   500.4   541.4   609.9   871.7  2980.2 11395.8  29907.6    30060  1713345926404  1713345936519
