#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      349.0   212.9   160.7   212.5   227.2   323.8   377.3   408.5   430.6   455.5   485.9   532.7   655.7  2348.8  8542.0  29913.4    30000  1715443465627  1715443475799
read      351.9   234.9   148.8   211.6   226.5   327.2   383.7   415.3   436.4   460.5   490.2   535.7   656.1  2256.3 11961.0  29985.6    30005  1715443477308  1715443487464
read      350.9   233.3   148.8   211.4   226.3   326.0   380.9   412.0   433.9   459.3   490.1   536.5   662.5  1865.8 10252.5  30003.0    30010  1715443488974  1715443499096
read      354.1   216.2   148.8   212.4   227.3   328.2   384.2   416.0   437.7   463.6   495.7   545.2   708.8  1711.4  8665.9  30010.8    30015  1715443500609  1715443510733
read      355.4   255.5   148.8   214.5   229.6   329.1   383.1   414.0   435.9   461.7   493.4   542.2   683.3  1972.3 10865.4  30026.9    30020  1715443512244  1715443522369
read      373.5   280.6   148.8   218.4   232.8   338.3   396.4   429.1   452.6   479.5   515.0   581.8   835.1  4309.4  9412.6  30035.0    30025  1715443523880  1715443534007
read      379.2   379.9   160.7   216.1   230.2   339.0   401.3   435.7   460.0   487.9   523.1   582.4   795.3  6707.4 13527.1  30041.9    30030  1715443535515  1715443545635
read      373.0   548.1   148.8   210.4   223.8   319.6   374.8   406.4   429.7   457.1   491.6   543.9   770.5  9484.8 18977.5  30000.8    30035  1715443547144  1715443557254
read      370.7   382.8   160.7   212.1   226.1   332.4   393.6   427.0   450.8   477.4   511.4   568.0   735.9  5725.0 13897.7  30143.5    30040  1715443558764  1715443568883
read      382.5   321.9   160.7   214.9   229.6   346.8   413.2   448.7   472.6   500.8   536.3   592.4   784.5  5360.9 12226.9  29961.8    30045  1715443570395  1715443580520
read      361.9   362.4   160.7   211.4   224.9   323.7   379.6   411.6   434.1   461.6   496.2   548.3   723.0  5586.0 12536.4  30105.6    30050  1715443582032  1715443592155
read      374.0   334.6   160.7   216.5   230.9   338.4   399.0   432.2   455.9   482.7   516.1   571.9   753.4  5238.4 11190.6  29940.4    30055  1715443593666  1715443603791
read      354.8   302.3   160.7   212.7   225.8   324.2   379.2   408.5   430.1   455.4   487.1   536.3   684.1  4593.5 12735.0  29968.1    30060  1715443605301  1715443615421
read      392.5   308.9   160.7   217.0   232.6   358.5   425.3   460.5   485.3   513.3   549.8   621.0   829.2  5143.3 10113.6  30101.6    30065  1715443616933  1715443627054
read      349.6   364.5   160.7   211.0   224.3   315.6   364.7   393.1   413.6   437.0   468.2   518.9   686.4  5142.6 13811.4  30065.0    30070  1715443628564  1715443638686
read      355.1   222.9   148.8   212.3   227.4   328.0   384.2   416.7   439.2   464.8   496.7   544.9   713.1  2036.0  9050.8  30036.3    30075  1715443640195  1715443650319
read      348.1   228.5   148.8   211.2   225.8   323.6   378.9   409.8   431.4   455.9   485.4   531.0   648.0  1727.0 10643.7  30142.0    30080  1715443651830  1715443661967
read      353.7   210.0   148.8   213.9   228.6   329.2   386.6   418.4   440.0   464.4   494.6   540.0   673.8  1524.5  8884.7  30059.8    30085  1715443663477  1715443673597
read      350.9   218.8   160.7   214.6   228.9   326.2   383.0   413.9   434.7   458.7   487.4   530.1   644.4  1950.5  8792.9  29973.8    30090  1715443675108  1715443685235
read      350.9   210.6   148.8   213.6   228.2   327.9   383.8   414.4   435.3   459.2   488.1   531.9   645.5  1696.9  8734.4  30115.6    30095  1715443686743  1715443696853
read      351.8   208.6   148.8   213.5   228.0   328.2   384.9   415.7   436.4   460.6   490.1   535.1   654.1  1847.2  8046.8  30138.0    30100  1715443698361  1715443708485
read      349.9   190.5   148.8   213.5   228.0   327.8   384.5   415.1   435.5   459.0   487.4   530.7   639.8  1544.0  7582.5  30156.9    30105  1715443709995  1715443720110
read      346.9   214.3   160.7   212.1   226.8   325.5   377.9   407.2   428.2   451.6   479.4   523.0   630.7  1544.8  8633.0  30106.9    30110  1715443721622  1715443731740
read      352.9   221.7   148.8   212.6   227.5   328.3   384.8   416.5   438.2   463.2   493.7   540.3   670.9  1625.0  9443.2  30143.2    30115  1715443733249  1715443743367
read      350.1   201.9   160.7   211.2   225.9   326.8   383.9   414.9   435.9   460.3   489.8   534.3   654.1  1566.5  8343.9  30025.1    30120  1715443744875  1715443754994
read      352.6   205.6   160.7   214.5   228.9   328.7   383.6   414.7   436.1   460.9   491.6   538.2   671.0  1740.4  8495.5  30075.2    30125  1715443756504  1715443766621
read      346.5   185.7   148.8   211.0   225.6   323.1   378.3   409.0   430.9   455.7   485.6   530.6   645.8  1434.6  7777.6  30191.9    30130  1715443768130  1715443778254
read      345.2   238.7   148.8   211.3   225.8   319.6   373.8   404.5   427.0   452.2   482.4   527.8   639.9  1632.6 10226.1  30141.7    30135  1715443779765  1715443789902
read      345.5   208.8   148.8   209.5   224.6   323.4   376.0   404.9   426.3   450.3   479.4   524.5   640.4  1666.6  9323.4  30177.3    30140  1715443791411  1715443801551
read      356.3   237.0   148.8   212.3   227.4   328.0   382.1   413.8   436.1   462.8   496.6   549.7   747.2  2244.2 10751.1  30141.5    30145  1715443803063  1715443813187
read      351.9   224.5   160.7   211.8   226.7   327.8   384.2   415.6   436.9   462.1   492.6   538.6   668.6  1588.4 10967.8  30156.4    30150  1715443814698  1715443824816
