#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,394.6,594.9,160.7,230.3,247.9,359.0,395.8,416.3,430.6,450.0,474.8,526.8,1083.2,7811.5,29020.7,4943.4,5000,1713106600879,1713106606311
read,406.0,623.0,160.7,221.0,237.3,384.2,439.0,464.8,483.2,503.5,531.5,572.4,682.7,5081.2,29804.2,9951.0,10000,1713106607817,1713106613186
read,419.8,583.9,160.7,216.9,232.0,395.3,469.7,506.1,530.6,556.9,589.2,640.5,752.0,4476.3,29447.6,14975.4,15000,1713106614689,1713106620012
read,437.3,602.2,160.7,215.9,233.5,402.3,491.2,535.4,565.4,598.7,639.0,695.5,832.9,4300.6,29839.2,19956.4,20000,1713106621516,1713106626834
read,443.6,530.4,148.8,217.1,235.4,409.1,496.9,544.6,578.3,617.0,663.4,729.6,889.6,2599.4,29407.9,24974.2,25000,1713106628338,1713106633661
read,434.8,394.6,160.7,213.7,231.9,395.9,485.8,539.0,577.8,622.4,673.5,743.3,940.6,1705.5,28311.1,29877.2,30000,1713106635164,1713106640466
read,444.6,567.0,148.8,210.7,229.1,404.2,490.7,542.5,582.0,628.7,683.0,757.9,942.1,2169.8,29788.7,35021.0,35000,1713106641970,1713106647263
read,441.3,449.4,148.8,211.1,229.3,405.2,492.0,543.6,583.4,629.9,684.7,761.5,944.6,1517.2,28486.8,39896.6,40000,1713106648767,1713106654089
read,448.4,307.7,148.8,213.7,232.8,419.3,508.2,559.5,597.6,644.7,700.6,781.3,952.5,1298.3,9813.5,45157.4,45000,1713106655593,1713106660883
read,436.7,358.9,148.8,210.7,229.5,399.5,487.6,539.2,577.8,624.5,683.0,768.5,952.7,1497.6,19747.8,49970.6,50000,1713106662387,1713106667690
read,427.4,333.4,148.8,209.1,227.4,392.9,480.1,530.9,568.5,613.4,669.3,744.7,901.3,1254.6,12443.0,54965.2,55000,1713106669193,1713106674485
read,425.5,307.5,148.8,211.2,229.4,389.9,477.0,529.3,567.3,611.9,666.7,742.1,895.1,1188.4,9561.7,59820.4,60000,1713106675988,1713106681278
read,442.3,318.4,148.8,212.9,233.7,406.4,493.5,545.6,585.5,632.4,691.4,783.8,967.7,1275.4,12442.2,64950.8,65000,1713106682782,1713106688071
read,415.2,307.9,148.8,207.0,225.4,379.8,462.0,511.8,549.2,593.7,648.1,727.0,872.0,1207.1,9368.3,69781.2,70000,1713106689575,1713106694867
read,436.8,361.1,148.8,216.0,237.4,399.4,484.2,535.5,574.1,619.2,674.7,753.9,915.8,1226.2,17440.7,74806.2,75000,1713106696371,1713106701666
read,441.0,310.1,148.8,220.7,244.7,407.9,491.0,540.5,577.1,619.3,670.7,742.8,896.5,1185.5,11964.1,79926.0,80000,1713106703169,1713106708463
read,482.2,355.8,148.8,239.3,271.7,445.8,532.0,585.1,623.6,668.3,724.5,809.4,983.4,1348.1,16443.1,85203.2,85000,1713106709966,1713106715267
read,730.9,449.6,160.7,441.9,472.9,596.5,878.4,977.3,1022.9,1061.6,1100.3,1164.6,1274.0,2603.8,24726.4,86281.0,90000,1713106716771,1713106722073
read,784.1,422.8,148.8,486.7,519.6,639.8,869.0,1063.5,1117.3,1158.2,1203.4,1260.4,1368.9,2944.3,18522.4,83181.0,95000,1713106723576,1713106728872
read,773.7,489.2,148.8,477.5,511.2,628.5,915.7,1048.1,1094.6,1135.0,1174.7,1238.1,1348.8,3230.4,24934.9,84621.6,100000,1713106730376,1713106735669
read,747.6,410.9,160.7,448.3,481.5,615.0,896.2,997.9,1043.6,1084.4,1131.2,1181.8,1281.8,2383.8,16904.9,87421.3,105000,1713106737174,1713106742463
read,779.3,446.0,160.7,475.4,508.9,635.4,931.3,1045.2,1092.6,1135.7,1177.8,1244.7,1362.1,2764.2,19595.4,84093.0,110000,1713106743967,1713106749256
read,756.3,453.5,160.7,456.4,489.4,619.9,899.4,1013.6,1056.7,1098.2,1147.9,1209.0,1334.5,3224.6,19315.9,86663.0,115000,1713106750760,1713106756059
read,792.6,475.5,173.5,475.3,513.2,653.0,924.8,1053.2,1107.8,1152.5,1201.0,1265.4,1385.4,3793.4,21582.1,82772.3,120000,1713106757562,1713106762854
read,755.1,415.8,160.7,450.9,485.0,626.8,892.7,1005.2,1052.2,1095.7,1145.8,1206.6,1334.0,2664.6,15761.6,86660.1,125000,1713106764357,1713106769658
