#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.0  1029.8   173.5   233.9   253.9   356.8   393.1   412.4   426.6   442.9   465.1   504.2  1008.9 20708.9 32397.3   4948.0     5000  1713118249128  1713118254555
read      436.8  1020.8   160.7   221.0   238.5   400.4   455.4   481.2   498.5   518.2   542.6   583.2   712.9 22020.7 37130.6  10014.0    10000  1713118256060  1713118261437
read      413.9   513.5   148.8   216.4   231.9   392.8   467.6   502.6   525.9   549.9   581.3   628.9   745.7  3846.4 29957.7  14987.2    15000  1713118262941  1713118268253
read      423.4   516.3   148.8   217.1   233.7   388.2   474.7   521.0   551.1   583.5   622.3   678.6   806.0  2663.7 29384.0  19932.6    20000  1713118269756  1713118275073
read      435.0   541.5   148.8   212.3   230.5   394.6   483.1   536.6   573.5   612.5   656.8   720.7   861.6  2510.1 29006.8  24917.2    25000  1713118276577  1713118281895
read      444.3   446.5   148.8   212.2   229.4   403.4   494.6   552.8   596.0   642.9   699.1   776.6   964.5  1746.0 28520.2  30018.4    30000  1713118283398  1713118288708
read      440.3   315.6   148.8   209.4   226.2   399.6   494.3   552.7   598.3   649.3   709.5   791.2  1010.8  1725.3 12442.5  34968.4    35000  1713118290213  1713118295518
read      460.0   451.4   148.8   211.6   228.2   403.0   513.7   583.3   634.9   693.0   763.2   854.3  1088.2  2016.3 26828.6  40044.4    40000  1713118297022  1713118302335
read      449.0   351.3   148.8   209.6   225.5   380.6   495.4   566.7   621.9   687.3   764.9   873.2  1175.3  1646.1 15266.9  44995.0    45000  1713118303839  1713118309143
read      454.5   442.9   148.8   213.6   229.5   374.6   486.1   559.2   619.3   688.7   778.6   912.1  1266.5  1653.5 28867.0  49806.0    50000  1713118310648  1713118315946
read      465.8   387.9   148.8   211.1   228.4   378.1   491.9   570.6   634.8   711.5   811.8   987.2  1402.4  1904.7 16606.0  54967.3    55000  1713118317451  1713118322741
read      444.5   377.9   148.8   208.0   223.8   350.1   450.6   525.2   592.2   675.4   784.6   968.9  1437.6  1961.7 12236.5  59940.0    60000  1713118324245  1713118329549
read      441.6   360.8   148.8   208.8   224.8   349.8   443.4   514.1   579.2   661.7   769.4   952.4  1459.4  2718.3 10166.4  65140.8    65000  1713118331052  1713118336350
read      449.7   335.7   148.8   210.4   227.6   355.9   449.8   523.6   590.4   682.6   801.8  1012.9  1472.3  2059.9  7690.2  69915.2    70000  1713118337854  1713118343150
read      446.5   402.0   148.8   210.6   227.0   348.1   434.1   501.5   569.5   665.9   793.8  1040.9  1502.2  2169.7 16767.7  74942.6    75000  1713118344655  1713118349956
read      769.0  1637.1   148.8   237.2   264.6   393.3   450.8   497.0   549.3   711.1  1348.7  2925.9  6973.1 28734.2 37733.5  79131.3    80000  1713118351460  1713118356753
read      582.4  1226.6   148.8   222.8   243.2   353.1   406.4   454.3   510.5   648.1   942.4  1538.5  5042.9 11867.6 35788.5  85029.2    85000  1713118358257  1713118363545
read      860.1  2592.5   148.8   277.3   304.6   375.4   402.7   423.3   437.0   463.5   508.2  1863.0 12615.9 32021.5 40271.3  85061.6    90000  1713118365049  1713118370343
read      842.8  2297.5   148.8   268.6   299.2   384.5   421.8   449.2   474.1   524.5   703.3  2791.6 11760.2 31614.0 39364.0  84832.1    95000  1713118371846  1713118377150
read      888.6  2511.2   148.8   277.1   312.6   396.7   429.6   453.5   471.9   507.4   586.4  2960.2 12516.6 31807.8 41461.4  81718.2   100000  1713118378654  1713118383957
read      908.4  2747.7   160.7   268.1   311.1   397.4   429.9   451.4   467.4   492.7   533.2  1186.8 12816.9 32174.4 41190.4  81190.3   105000  1713118385460  1713118390760
read      850.9  2586.8   160.7   279.2   303.3   370.4   398.9   418.8   433.6   459.1   503.9  1603.0 12627.6 32059.0 41251.4  86408.4   110000  1713118392265  1713118397567
read      862.6  2452.1   148.8   277.2   305.5   383.0   415.5   436.9   461.4   498.7   591.2  2695.8 12331.0 31870.8 39118.7  84286.2   115000  1713118399070  1713118404368
read      886.0  2662.0   148.8   275.8   311.4   389.8   419.8   437.2   456.5   479.4   526.6  1756.4 12731.8 32135.5 42497.8  82984.9   120000  1713118405872  1713118411172
read      807.3  2288.6   148.8   262.7   285.8   361.8   394.8   418.5   438.9   479.6   615.4  2588.8 11963.4 31635.4 40843.5  89448.0   125000  1713118412677  1713118417972
