#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      399.4   713.2   173.5   238.7   257.3   356.6   389.2   405.7   421.1   436.5   462.3   506.9  1072.1 10512.5 28995.9   5010.2     5000  1713109802387  1713109807825
read      391.6   621.4   160.7   223.6   240.3   372.9   413.4   433.3   448.3   464.4   487.7   527.5   685.2  4869.8 30929.0   9945.8    10000  1713109809332  1713109814700
read      385.3   367.5   160.7   217.0   232.3   380.9   432.4   455.3   469.7   489.4   510.4   548.6   679.9  2165.1 16076.4  14964.8    15000  1713109816204  1713109821529
read      379.8   493.7   148.8   210.5   225.7   361.5   430.1   457.5   474.9   495.6   520.1   555.8   648.0  3406.9 29376.1  19924.2    20000  1713109823033  1713109828357
read      383.3   356.5   148.8   209.8   224.7   355.5   439.2   473.0   495.0   518.8   546.3   590.8   706.5  2103.7 14486.0  25113.0    25000  1713109829861  1713109835187
read      376.8   376.0   148.8   206.4   221.3   341.1   431.9   471.5   496.0   522.7   553.1   598.9   704.4  1743.1 23547.5  30025.7    30000  1713109836691  1713109842004
read      361.9   307.6   148.8   204.3   218.1   323.9   407.6   451.2   477.8   505.2   538.2   584.1   686.1  1691.9 12641.5  34867.6    35000  1713109843508  1713109848818
read      365.0   270.2   148.8   203.4   217.5   330.5   411.2   455.4   483.5   512.4   545.3   591.5   690.4  1635.2  8534.7  39925.6    40000  1713109850323  1713109855640
read      364.2   369.1   148.8   203.5   217.5   325.0   402.1   449.1   479.4   511.1   546.2   594.2   709.4  1563.1 28438.0  45092.2    45000  1713109857144  1713109862443
read      354.3   320.5   137.8   200.5   214.1   318.9   387.4   431.8   462.8   495.8   532.5   581.6   683.7  1401.7 15059.7  50038.2    50000  1713109863948  1713109869238
read      346.6   194.9   148.8   202.1   215.3   317.4   381.4   421.2   450.1   482.0   518.3   568.2   668.3   982.1  6225.2  54957.6    55000  1713109870742  1713109876046
read      353.3   233.6   148.8   202.2   215.7   320.7   385.6   426.1   456.1   490.0   529.6   585.0   722.7  1333.0  8090.2  59947.8    60000  1713109877550  1713109882838
read      348.7   243.4   148.8   202.4   215.5   318.6   382.3   420.2   448.3   480.3   518.6   572.2   689.9  1196.6  8885.4  64918.2    65000  1713109884342  1713109889644
read      342.9   180.5   148.8   200.7   213.8   315.1   374.1   409.9   436.6   468.1   506.0   561.9   688.0  1320.9  5867.7  70072.4    70000  1713109891147  1713109896440
read      341.0   228.0   148.8   199.7   213.1   315.1   375.5   410.0   435.3   465.4   502.3   554.6   662.3   856.7  7056.3  75197.0    75000  1713109897943  1713109903239
read      335.4   228.6   148.8   199.9   213.0   309.1   365.5   398.9   424.4   454.9   492.8   545.2   653.4   859.9  7862.4  79836.0    80000  1713109904744  1713109910049
read      329.8   234.6   148.8   200.4   213.2   305.7   357.9   388.3   410.9   439.4   476.3   530.8   638.7   930.5  4316.4  84952.8    85000  1713109911552  1713109916852
read      343.6   232.0   148.8   203.3   217.4   319.6   375.8   406.8   430.5   459.0   495.5   548.0   673.7  1058.0  9745.0  90040.0    90000  1713109918356  1713109923647
read      333.5   252.9   148.8   201.8   215.7   311.0   362.7   392.3   414.3   440.6   474.8   530.4   643.2   862.6  9643.9  94831.8    95000  1713109925151  1713109930445
read      338.7   203.0   148.8   203.7   218.3   317.5   369.6   399.0   421.4   448.1   482.7   536.7   660.8  1018.5  5539.9  99989.0   100000  1713109931948  1713109937244
read      330.4   223.4   148.8   200.6   213.8   307.1   356.2   384.8   405.3   432.2   467.2   525.9   681.5  1194.2  5280.7 105043.4   105000  1713109938749  1713109944048
read      340.3   180.4   148.8   204.7   219.6   319.3   369.9   398.8   420.9   447.2   482.2   540.5   683.7   977.8  6347.0 109907.4   110000  1713109945552  1713109950854
read      342.7   190.2   148.8   204.9   220.1   319.2   369.1   398.1   420.5   447.8   484.9   547.5   730.8  1360.2  3987.7 115007.2   115000  1713109952358  1713109957667
read      352.8   173.2   148.8   209.6   226.6   333.8   384.1   412.8   434.1   461.7   498.1   557.8   688.4   923.9  6458.2 120096.6   120000  1713109959171  1713109964472
read      417.0   218.8   148.8   222.3   244.6   379.9   454.2   503.0   540.5   584.5   638.0   720.7   872.5  1103.8  7886.4 124119.6   125000  1713109965977  1713109971275
