#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      406.4   654.9   160.7   218.8   232.9   399.7   458.8   487.0   505.4   528.4   554.5   602.9   747.9  3607.6 15524.6  13237.3    13208
read      421.5   533.6   160.7   214.0   228.3   400.4   468.1   498.8   519.4   541.8   573.0   625.2   853.3  6418.8 30786.5  14491.7    14474
read      518.3  1096.0   160.7   216.0   233.0   408.6   485.5   524.4   549.5   580.2   620.3   700.4  3557.7 14358.7 37067.5  10019.1    10060
read      495.2   520.4   160.7   214.6   230.8   403.5   531.2   600.0   655.6   728.3   822.2   964.8  1382.9  6116.2 14416.8  30742.7    30801
read      470.5   430.0   160.7   216.4   233.1   375.1   479.4   548.0   599.5   663.9   767.3   995.9  1640.1  5163.1 12003.3  51538.2    51547
read      400.3   308.1   160.7   216.4   231.3   349.1   429.8   482.7   522.2   566.3   618.5   692.6   943.0  2400.9 15222.3  53694.9    53648
read      393.9   247.4   160.7   214.8   228.9   341.8   442.9   502.3   537.8   574.2   615.2   670.8   789.1  1863.9  8815.3  36786.5    36683
read      403.0   315.2   160.7   220.9   236.0   401.1   453.1   478.5   496.2   515.8   541.3   583.2   694.5  3573.9 12719.4  11232.1    11261
read      378.4   205.6   160.7   210.2   225.1   339.0   406.3   448.3   480.3   520.1   571.1   647.5   878.1  2092.2  6131.6  72326.2    72283
read      415.1   470.1   160.7   231.3   253.9   379.4   422.7   447.7   465.6   488.6   517.3   569.1  1188.0  5965.3 24273.9   6231.1     6239
read      451.7   351.7   160.7   212.5   227.3   392.8   509.6   565.1   604.9   656.9   733.9   855.6  1108.6  4274.0 12023.1  24665.5    24698
read      400.1   394.6   160.7   213.1   228.5   347.4   411.9   451.8   482.4   520.9   574.1   663.3  1284.5  5314.9 12420.6  84458.1    84489
read      455.1   333.7   160.7   214.2   229.0   401.4   513.5   566.4   604.9   654.9   729.4   851.0  1133.1  4015.1 10230.1  23361.3    23391
read      395.8   323.5   160.7   214.8   229.6   343.8   413.2   458.2   494.6   539.6   596.3   682.1  1121.9  3602.8 10331.1  63144.1    63149
read      433.0   430.6   160.7   219.8   236.0   404.5   471.9   508.3   534.5   564.4   602.0   661.2   902.5  4561.9 14948.0  10419.3    10346
read      404.0   360.1   148.8   213.1   228.9   352.9   421.7   462.9   494.8   534.4   587.4   677.5  1218.7  4560.7 11039.8  78956.7    79135
read      426.9   397.9   160.7   222.3   239.0   399.2   460.2   494.0   518.2   546.2   583.5   637.3   905.3  4647.6 14830.9   9419.6     9406
read      393.7   289.1   160.7   211.7   226.4   342.6   414.3   459.2   494.5   537.9   593.6   679.6  1122.5  3749.5  8032.6  64125.6    64142
read      388.1   338.1   148.8   210.4   225.4   342.1   411.0   453.7   486.1   526.1   578.7   665.2   959.9  3476.2 11820.2  73292.4    73387
read      433.2   406.9   160.7   211.0   225.7   358.6   479.5   537.5   575.2   618.2   675.7   797.3  1181.1  5195.7 12266.7  31106.6    30993
read      399.2   374.9   160.7   211.2   226.2   340.7   417.4   468.1   508.1   552.8   606.0   682.3  1066.0  4623.7 14076.9  53251.7    53217
read      470.3   550.3   160.7   211.9   228.3   420.2   507.6   554.7   591.2   633.6   685.7   763.6  1402.0  6359.4 28804.8  15698.9    15645
read      437.3   455.3   160.7   209.0   223.3   349.5   469.3   534.5   576.7   625.4   693.1   868.9  1306.8  4473.6 20826.6  34789.3    34698
read      415.5   580.9   148.8   213.0   229.2   351.9   414.8   453.8   484.3   524.2   580.6   679.9  1296.9  8319.2 29315.4  92094.0    92125
read      474.7   497.6   160.7   212.8   228.3   418.4   519.5   575.6   616.9   664.8   721.6   802.3  1229.6  6084.5 21745.4  19475.7    19486
read      416.3   557.7   148.8   211.1   226.0   343.7   409.3   450.0   481.1   520.8   576.1   673.5  1778.3  7198.0 25876.4  78972.1    79102
read      471.9   464.3   160.7   211.8   227.0   378.7   514.2   580.9   631.4   703.1   807.2   956.3  1282.2  5246.0 14798.1  31435.2    31438
