Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1714932442139
Timestamp end: 1714933342624

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      378.6   421.5   173.5   224.8   241.2   358.6   392.8   410.4   423.5   436.5   458.1   491.3   635.6  6257.0 16155.0   7382.5     7434
read      372.8   221.3   148.8   210.4   223.9   335.4   405.1   445.1   474.6   511.5   558.5   629.4   817.1  2332.8  6907.4  66956.2    67201
read      396.7   489.6   148.8   213.1   227.4   340.1   402.7   440.0   468.7   504.3   551.7   635.4  1470.4  6139.4 20287.6  85994.3    85927
read      413.7   559.5   160.7   210.3   223.8   338.3   409.7   454.1   489.0   532.6   589.5   686.4  1649.3  8204.7 27383.3  63940.4    63953
read      535.0  1056.2   148.8   206.9   220.4   367.7   488.6   555.8   607.3   681.1   801.1  1007.9  4191.1 10124.9 35756.2  31619.3    31595
read      436.9   640.2   160.7   213.0   227.5   351.7   417.0   456.0   487.1   527.3   585.8   726.5  1916.1  8051.2 30794.2  87830.3    87879
read      427.6   947.6   173.5   224.1   241.7   363.3   400.8   421.7   435.3   454.4   476.4   518.8  1940.1 10965.8 38235.6   7309.5     7287
read      380.1   252.9   160.7   211.1   224.5   340.4   413.4   455.2   486.6   524.4   572.2   640.8   856.6  2507.9  8271.3  62376.6    62295
read      377.3   447.6   173.5   229.2   248.6   357.3   390.2   406.6   420.2   433.8   454.6   485.7   632.1  5409.0 18129.1   6603.6     6561
read      392.1   263.4   148.8   212.9   226.4   365.3   454.0   492.6   516.9   542.2   573.4   618.1   735.5  2452.0 11518.1  22497.8    22532
read      399.2   360.9   160.7   212.5   225.8   345.1   418.8   462.3   496.8   538.4   591.7   678.1  1343.4  3962.4 10729.9  60674.2    60653
read      410.7   384.2   160.7   213.8   227.1   351.0   426.3   471.3   506.9   550.2   608.5   700.1  1493.3  4189.4 12358.4  59148.4    59076
read      409.6   395.7   160.7   213.2   226.6   349.6   424.5   469.0   504.7   548.3   606.2   697.1  1472.3  4379.0 12699.4  60011.7    60154
read      455.8   618.0   160.7   211.6   225.4   383.3   484.6   531.2   562.6   600.7   665.6   817.8  1678.3  6407.5 31210.2  22908.7    22964
read      473.8  1116.0   160.7   223.3   240.6   374.6   419.9   445.1   463.9   488.2   521.7   589.3  3356.0 18410.7 37108.8   8122.6     8172
read      451.0   553.2   160.7   211.4   225.0   365.6   471.1   525.5   561.6   605.6   681.4   868.4  1451.3  5959.7 29087.9  27525.5    27652
read      412.4   349.7   160.7   213.2   226.7   355.3   444.7   499.9   538.2   579.1   626.6   700.4  1266.8  3758.7 13266.2  37660.9    37594
read      458.0   607.9   160.7   212.4   226.0   379.2   484.0   532.5   566.0   607.4   677.3   837.8  1472.5  6165.2 30245.4  24350.8    24367
read      415.5   350.6   160.7   212.4   225.8   357.2   449.1   502.9   538.4   577.0   624.2   705.7  1276.8  3821.9 11465.8  33694.9    33771
read      372.8   264.7   160.7   212.6   226.1   335.2   398.6   435.5   464.2   498.7   543.1   618.0   857.4  3133.2  8319.9  84951.8    84944
read      416.9   466.7   160.7   216.4   230.6   351.9   418.9   459.1   490.3   529.4   584.1   686.6  1783.6  5729.7 15747.6  85637.2    85666
read      423.4   483.4   148.8   214.4   227.7   353.2   431.8   479.6   516.6   560.8   617.8   716.6  1613.1  6733.1 19019.0  51890.9    51918
