Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715027922814
Timestamp end: 1715028823347

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.4   353.6   160.7   217.4   233.6   332.7   361.1   375.4   387.2   399.1   417.0   444.4   547.9  5302.8 15698.8   7422.4     7434
read      375.5   311.5   148.8   203.1   216.2   327.7   397.0   443.6   480.2   523.1   577.2   663.5   909.2  3004.0 10247.8  67176.4    67201
read      363.7   223.7   148.8   203.8   217.5   324.6   388.9   428.8   460.5   499.6   549.2   631.9   852.1  2097.3  8609.6  86047.3    85927
read      385.7   400.1   148.8   199.7   212.8   323.7   396.5   445.8   483.8   527.0   580.9   672.7  1332.8  4078.2 12253.3  63924.4    63953
read      392.4   390.7   148.8   203.7   216.8   339.9   428.7   476.9   508.5   543.6   587.4   659.7  1007.4  4036.3 18382.7  31578.8    31595
read      462.7   783.2   148.8   211.7   228.5   364.2   439.6   488.3   526.1   574.5   643.7   804.4  1972.0 11281.0 31733.0  87814.2    87879
read      357.1   441.0   160.7   217.1   234.0   332.2   361.8   377.2   389.6   401.9   422.4   457.6   754.6  6408.7 15923.6   7287.6     7287
read      410.5   522.8   148.8   204.0   217.6   336.1   412.4   461.7   499.2   543.5   601.2   702.3  1620.2  6309.7 20236.3  62367.5    62295
read      350.5   466.6   160.7   204.5   221.7   316.2   345.9   364.1   376.1   392.9   414.9   460.7  1166.5  7654.3 18537.6   6565.0     6561
read      477.1   888.7   148.8   200.5   213.9   369.4   471.8   528.6   576.1   641.6   722.5   838.7  2234.2 11006.0 35797.5  22460.9    22532
read      412.1   602.0   148.8   203.5   217.0   335.8   413.6   464.3   502.0   545.3   602.4   698.2  1546.4  7613.2 29685.6  60657.5    60653
read      399.3   449.6   148.8   203.1   216.2   334.6   412.2   461.6   498.2   540.3   593.1   682.6  1409.9  5391.6 16673.9  59038.0    59076
read      401.5   470.5   148.8   203.0   216.0   333.8   411.5   461.1   497.7   540.6   596.7   692.6  1557.4  3998.1 17376.1  60157.4    60154
read      479.9   891.3   148.8   201.5   214.3   364.9   469.9   527.5   576.6   646.8   736.6   867.1  2121.0 10869.9 35128.3  22992.4    22964
read      363.6   521.8   160.7   203.6   217.7   329.8   366.1   385.9   399.5   417.8   440.7   489.1  1350.2  5022.8 27024.3   8163.4     8172
read      472.6   774.8   148.8   200.7   213.6   349.2   464.2   527.6   579.4   659.5   777.4   933.7  1892.9  8093.3 31931.9  27638.0    27652
read      428.1   613.8   148.8   202.3   215.2   336.8   428.2   483.3   522.3   567.4   629.7   799.3  1561.5  8205.5 29893.3  37590.4    37594
read      486.2   964.3   148.8   201.3   214.3   361.7   470.6   530.0   581.0   654.3   746.6   884.0  2104.3 11552.5 36617.6  24384.9    24367
read      474.6   770.1   148.8   201.6   214.7   341.1   448.9   516.3   567.4   640.0   790.3  1014.2  2258.5  7790.3 31765.5  33912.8    33771
read      443.2   599.1   148.8   208.9   224.9   356.9   428.7   474.8   511.6   559.6   630.3   802.0  1840.6  7387.0 29538.8  84908.0    84944
read      423.8   566.9   148.8   209.1   225.0   353.5   424.8   467.7   501.6   543.4   602.3   716.3  1687.6  7675.8 28660.4  85562.0    85666
read      393.0   429.5   148.8   201.4   214.3   331.8   412.1   462.7   499.6   541.6   593.3   678.3  1254.5  4569.9 16513.1  51880.4    51918
read      391.7   432.6   148.8   200.7   213.4   330.9   418.4   468.4   502.8   540.4   585.6   660.0  1133.9  6020.2 15578.1  34445.7    34406
read      457.1   749.0   148.8   201.1   214.4   346.8   454.6   513.1   556.8   622.4   735.9   912.3  1633.3 11241.9 31765.5  28762.4    28664
read      430.5   568.9   148.8   199.7   213.2   336.4   429.2   487.6   528.8   578.3   653.7   875.5  1609.8  6035.6 29069.4  38312.4    38289
read      472.7   748.2   148.8   199.7   213.3   375.0   475.3   535.5   586.5   648.1   718.0   828.0  2247.7  7673.4 31891.8  20662.9    20658
read      405.4   692.2   160.7   195.5   208.5   347.3   409.0   442.0   466.6   499.4   546.6   627.3  1524.9  8069.0 31286.5  13816.4    13840
read      425.9   661.4   148.8   207.2   223.4   347.2   416.9   461.9   497.8   543.1   607.9   732.6  1648.4  8603.4 31218.2  93500.8    93419
read      428.9   531.8   148.8   208.8   225.8   358.9   434.4   483.1   520.8   569.5   639.8   785.4  1286.3  6429.7 29525.4  98228.8    98284
read      400.2   503.6   148.8   200.8   214.1   325.6   396.1   443.9   482.2   528.2   587.0   691.4  1647.1  5747.9 24326.6  71241.8    71313
read      400.3   547.1   148.8   199.3   212.5   329.9   416.2   466.3   501.8   541.5   590.2   673.7  1324.4  6360.5 30686.8  42082.5    42089
read      398.5   470.7   148.8   199.1   212.1   330.5   414.2   465.0   501.4   542.5   593.0   680.0  1422.8  5610.7 15901.0  46288.8    46458
read      472.4   665.5   148.8   199.2   212.6   343.6   466.0   541.8   612.7   711.9   821.9   963.9  1774.0  7145.2 31054.0  30749.0    30755
read      477.3   705.1   148.8   200.8   214.1   324.8   422.2   500.3   565.9   688.0   899.6  1134.0  2335.4  7409.6 30676.5  42843.4    42889
read      423.0   559.0   148.8   208.0   224.3   351.4   425.2   471.0   506.8   549.9   614.8   741.3  1572.8  7013.5 28551.1  93526.8    93552
read      410.6   601.8   148.8   202.3   215.6   330.9   407.1   458.9   497.7   542.4   598.5   694.1  1637.9  7243.5 30679.4  65585.4    65694
read      474.2   728.8   148.8   200.4   213.4   345.1   472.6   546.1   616.1   706.4   805.4   941.2  1735.8  7887.7 31747.5  29573.3    29574
read      408.1   510.5   148.8   200.6   213.5   326.9   410.3   464.6   503.9   548.5   608.5   727.0  1546.8  5858.8 28789.5  51290.3    51355
read      386.8   391.7   148.8   200.9   214.0   321.3   394.5   444.6   483.8   529.6   585.8   677.3  1388.3  4577.8  9982.3  67277.0    67361
read      455.5   876.3   148.8   198.7   212.1   355.0   428.2   467.3   498.3   538.8   598.6   700.4  3317.6  9253.4 32916.4  16246.4    16287
read      413.5   594.0   148.8   204.1   218.5   335.8   406.9   454.4   491.1   535.5   593.5   697.6  1721.7  7534.3 29210.5  81542.7    81508
read      405.3   541.9   148.8   203.3   218.5   337.4   407.0   452.4   487.0   529.5   586.2   688.0  1540.4  7629.0 29229.3  87676.0    87619
read      414.4   474.2   148.8   206.6   223.8   353.5   425.8   470.8   507.1   552.8   619.7   737.1  1097.0  6154.0 18609.8  99156.9    99068
read      398.4   511.2   148.8   198.7   212.4   333.8   417.1   466.0   501.8   543.6   597.4   685.9  1263.4  5532.3 24870.9  51372.4    51267
read      362.0   415.0   148.8   196.1   209.9   338.8   386.7   410.5   427.2   446.9   470.7   515.3   802.5  5101.2 17650.5  11888.0    11822
read      433.4   615.9   148.8   207.0   224.9   359.6   432.8   479.5   516.4   564.6   634.6   767.9  1207.4  7535.7 30680.7  97624.2    97494
read      404.0   534.6   148.8   203.2   219.3   341.1   407.4   450.3   483.4   526.0   585.7   694.0  1402.9  6959.6 27976.9  97169.2    97350
read      390.9   422.6   148.8   198.3   211.9   330.8   408.6   458.0   493.7   535.6   588.5   677.8  1298.4  4078.3 14003.0  55420.4    55460
read      391.8   441.1   148.8   201.1   216.1   333.2   401.5   445.6   479.3   521.6   578.9   679.5  1322.9  5154.1 18202.1  86066.3    85984
read      375.8   275.0   148.8   202.5   216.6   330.7   398.5   441.3   474.2   515.8   572.9   669.9   935.3  2756.8  9466.1  81907.0    82043
read      377.6   217.8   148.8   201.9   215.3   332.5   411.3   460.9   496.9   538.3   590.3   676.7   887.9  1860.8  6433.2  52875.8    52873
read      369.5   294.0   148.8   209.0   223.3   353.8   409.4   435.4   453.6   472.1   498.3   537.9   682.9  4441.5 11979.1  13937.2    13911
read      375.6   242.7   148.8   202.8   215.6   329.0   407.3   459.9   497.2   538.1   587.3   663.8   872.1  1807.9 10006.2  49899.3    49984
read      359.1   379.7   160.7   209.2   224.5   340.4   379.8   399.8   414.7   430.9   454.2   492.5   692.3  3926.4 17190.6   9292.9     9274
read      421.9   399.0   148.8   204.7   218.6   345.2   446.9   501.6   539.4   587.3   673.5   860.7  1222.7  4155.1 10176.7  27105.0    27187
read      412.3   402.8   148.8   205.5   219.2   363.2   446.8   487.7   516.2   554.5   622.9   745.0  1067.9  3979.8 16357.5  18731.8    18735
read      413.5   452.9   148.8   209.8   226.0   353.9   427.1   471.6   506.1   547.9   607.4   710.6  1390.0  5336.3 16953.5  86425.2    86505
read      408.6   405.1   148.8   211.5   228.5   355.5   425.7   469.7   504.3   545.6   603.0   700.7  1066.5  4624.4 14397.5  92944.8    93039
read      404.8   385.5   148.8   208.5   223.9   346.0   420.3   466.9   502.5   545.2   604.5   706.0  1408.8  4001.0 13295.8  75967.7    75999
read      397.1   359.9   148.8   205.2   219.2   347.4   436.6   486.4   519.4   555.7   601.8   674.4  1022.5  3186.2 11549.7  32386.5    32324
read      402.1   328.6   148.8   208.5   224.1   349.8   423.2   468.4   503.3   545.2   602.0   698.2  1242.1  3539.2  9607.6  84142.5    84255
read      402.4   361.5   148.8   208.4   223.6   348.3   421.6   467.2   502.2   543.8   601.1   697.8  1258.6  3719.2 13402.6  81867.6    81759
read      397.8   292.9   148.8   205.0   219.2   348.1   436.6   487.6   522.6   561.9   610.9   683.8  1039.1  3045.7 10346.0  37319.7    37291
read      386.5   248.8   148.8   204.9   219.0   340.9   420.4   469.0   504.8   546.0   596.8   673.1   930.1  2540.4  9799.6  53923.5    53818
read      459.7   635.7   148.8   203.4   217.1   350.7   465.7   530.6   579.6   649.6   770.2   943.1  1596.0  7014.1 30817.0  30298.5    30297
read      470.3   728.5   148.8   206.0   220.5   361.1   468.5   528.2   573.4   635.2   737.3   929.3  1751.3 10017.0 31266.5  31625.6    31569
read      411.3   501.3   148.8   203.5   216.9   339.0   430.4   484.3   521.4   562.7   614.4   700.2  1397.9  6039.9 18982.7  38996.6    38927
read      381.8   525.2   160.7   203.2   215.6   344.7   391.2   414.0   429.1   447.3   468.8   509.0  1570.4  6128.1 28266.6  10657.2    10652
read      483.1   762.7   148.8   220.2   240.4   395.0   474.3   525.0   565.1   618.7   695.8   830.7  1623.7  8765.0 31866.9  98106.7    98119
read      394.8   422.1   148.8   201.8   214.5   331.6   415.6   467.9   505.4   547.1   598.8   681.5  1313.0  4077.5 18673.9  48185.3    48176
read      371.8   263.4   148.8   200.3   213.3   325.6   410.3   461.0   494.7   530.0   569.9   626.7   802.3  2674.9 10063.3  34995.4    34929
read      353.1   177.9   148.8   200.3   213.2   318.5   384.3   425.8   457.8   496.0   541.5   607.9   746.7  1139.5  6990.1  69826.4    69735
read      359.2   244.4   148.8   203.8   217.2   338.7   414.6   447.2   467.0   488.2   510.0   545.6   633.4  1674.2 11229.1  20768.3    20753
read      359.4   179.6   148.8   203.5   217.3   326.0   391.5   431.0   461.7   498.6   544.8   618.1   786.3  1210.2  5350.1  84690.5    84642
read      361.5   202.0   148.8   198.3   212.0   325.4   400.7   447.5   480.9   517.3   556.8   613.9   730.0  1487.0  6776.5  42339.5    42333
read      356.9   169.0   148.8   199.6   212.8   322.9   391.8   434.2   466.9   503.9   547.5   612.1   750.4  1269.3  5677.5  61637.2    61587
read      356.5   172.1   148.8   201.7   214.9   322.0   387.3   427.9   459.9   498.1   545.0   616.1   782.3  1266.7  6263.4  77914.5    77998
read      359.3   169.5   148.8   205.4   220.3   328.5   389.7   427.1   456.1   491.4   537.6   611.3   786.9  1104.8  5395.1  97625.4    97625
read      361.8   242.7   148.8   201.7   214.8   332.3   415.8   454.6   478.5   502.3   530.2   569.3   660.4  1684.9  9852.3  23802.8    23781
read      354.1   184.5   148.8   198.9   211.9   318.1   385.0   427.9   461.1   500.3   546.7   614.5   757.4  1326.7  5913.4  66716.6    66723
read      362.7   204.1   148.8   199.8   213.1   327.1   410.3   457.3   486.8   516.5   548.5   595.0   693.2  1566.2  8672.9  31081.6    31016
read      359.6   193.2   148.8   199.2   212.5   324.6   396.8   441.6   474.5   511.2   552.3   612.0   735.9  1396.3  7883.6  47478.9    47394
read      355.1   174.7   148.8   204.4   218.7   324.6   384.1   421.0   449.5   484.6   530.6   600.5   770.4  1230.3  6136.8  95098.9    95335
read      333.9   335.5   160.7   224.2   246.4   317.0   338.4   349.5   359.7   369.9   386.0   411.9   553.6  4044.5 18819.6   5224.8     5252
read      358.0   180.1   148.8   200.1   213.4   323.5   391.7   433.6   466.2   504.3   549.2   618.2   770.2  1229.8  6091.1  65915.9    65908
read      355.3   286.1   148.8   204.7   218.2   340.9   404.4   431.8   449.5   467.4   490.1   520.0   588.4  1858.3 14800.3  16897.8    16889
read      354.3   206.2   148.8   197.3   210.5   317.1   391.8   437.6   470.2   505.4   543.7   594.5   710.1  1631.3  8144.9  42947.0    42912
read      365.6   170.3   148.8   207.6   222.9   335.1   395.5   432.7   462.3   498.5   545.4   623.1   808.0  1209.6  5167.7  99776.2    99898
read      361.4   236.4   148.8   203.6   217.5   330.1   412.0   453.1   478.0   502.9   531.9   572.9   671.0  1650.9 10689.6  26338.6    26385
read      366.8   232.1   148.8   206.8   221.2   340.9   421.3   457.3   479.3   501.1   527.5   564.0   650.9  1784.7  9627.3  22591.0    22616

Total QPS = 51579.4 (46421436 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11466094692 bytes :   12.1 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.97%,50.75%,100.00%
