Random waveform, supplied seed
Total number of intervals = 84 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252)
Average QPS expected = 51998
Timestamp start: 1715725126015
Timestamp end: 1715725966548

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      376.8   610.6    80.4   174.1   205.0   344.4   390.4   417.5   436.0   458.9   487.0   533.1   728.5  7984.5 31057.0   7436.1     7434
read      372.4   282.8    80.4   138.9   159.5   335.5   425.2   477.5   516.4   561.8   620.1   707.0   910.7  2327.3  9775.9  67193.0    67201
read      374.0   285.4    74.4   144.1   167.0   333.3   417.5   468.7   507.8   555.4   617.8   711.4   937.3  2772.6  9736.8  85711.0    85927
read      370.7   312.4    80.4   140.8   161.3   330.1   422.0   476.9   517.1   563.8   620.6   700.0   889.8  2256.2 11030.2  63888.0    63953
read      426.6   684.8    80.4   136.8   156.5   331.4   449.2   516.6   562.4   615.9   689.4   869.5  1493.8  8968.0 31260.3  31607.2    31595
read      431.9   655.3    80.4   148.9   173.8   354.5   440.6   492.8   533.5   586.0   664.0   806.8  1782.8  8378.9 31402.8  87858.9    87879
read      389.0   714.4    86.8   167.4   197.0   345.3   393.0   421.2   441.0   464.6   496.5   548.3  1272.8  7986.7 32991.5   7281.6     7287
read      381.1   264.2    80.4   143.5   164.4   340.2   434.5   490.0   530.4   577.4   635.0   726.0   969.4  2558.9  8452.6  62335.3    62295
read      376.4   535.0    86.8   179.9   211.0   347.0   389.6   415.0   433.0   455.5   483.9   533.7   723.7  7805.4 24060.6   6596.6     6561
read      372.9   279.8    80.4   141.6   161.1   344.6   449.3   497.9   529.3   562.6   600.7   658.2   798.0  2023.8 10139.2  22498.2    22532
read      378.6   263.0    74.4   143.8   164.9   340.9   435.3   490.1   529.9   576.3   633.0   719.2   918.6  2038.0  9418.7  60638.2    60653
read      388.0   342.5    80.4   143.9   164.7   340.1   436.0   492.2   532.9   579.9   637.4   728.4  1084.8  3133.3 11584.9  59050.4    59076
read      394.6   409.7    80.4   143.6   164.7   341.8   436.5   493.2   534.8   583.4   642.7   737.9  1262.4  3684.1 13833.9  60223.0    60154
read      417.7   533.3    80.4   141.9   162.3   351.6   466.9   525.0   564.9   614.3   685.9   826.9  1193.9  5637.0 27893.7  22970.5    22964
read      390.7   747.5    86.8   156.7   183.1   334.9   385.2   416.5   438.4   465.4   500.6   561.2  1650.4  9930.6 31458.7   8192.0     8172
read      429.1   545.4    80.4   139.5   159.8   339.6   465.7   534.9   581.7   639.1   736.2   934.6  1384.3  5914.4 28402.5  27676.8    27652
read      386.8   340.2    74.4   139.6   159.6   337.2   435.9   495.4   537.3   583.3   635.9   721.6  1213.2  3534.3 10440.5  37628.6    37594
read      425.3   483.2    74.4   141.3   161.5   351.4   478.0   540.3   583.0   634.8   716.0   865.1  1265.3  5855.5 18020.4  24404.4    24367
read      384.9   331.3    80.4   139.0   158.4   334.5   437.2   499.1   540.5   584.8   636.6   720.6  1161.4  3258.7  9647.3  33797.5    33771
read      406.8   502.5    80.4   148.3   172.6   349.8   434.1   485.6   525.8   575.6   641.4   750.1  1230.6  6575.4 22062.1  85134.1    84944
read      399.2   428.1    80.4   148.7   172.6   347.2   433.0   484.8   524.5   573.7   638.4   745.5  1126.7  5264.5 14614.7  85632.0    85666
read      385.5   312.0    74.4   141.5   162.2   339.0   435.5   492.8   534.4   581.7   638.0   725.9  1081.3  2905.6  9923.3  51946.6    51918
read      403.3   495.3    80.4   140.4   160.6   336.9   441.2   504.0   546.2   592.1   647.4   743.0  1452.9  5965.0 18772.3  34438.1    34406
read      371.9   378.3    80.4   138.6   157.5   326.7   435.2   493.0   529.0   566.6   610.1   672.2   844.9  3905.1 14274.4  28667.5    28664
read      379.2   381.0    80.4   136.0   155.3   323.1   422.2   484.3   527.7   574.8   628.1   707.7  1219.4  3857.7 14588.0  38274.5    38289
read      478.4   943.8    74.4   141.0   162.5   372.5   490.9   553.6   602.0   661.7   737.6   858.7  2636.2  9470.6 37186.8  20667.1    20658
read      457.2  1016.7    80.4   144.5   167.1   362.1   446.4   489.8   521.2   559.2   610.0   701.6  2723.9 11867.7 35876.4  13864.1    13840
read      444.6   698.9    80.4   154.6   183.0   371.5   455.9   505.7   545.9   599.7   678.3   811.6  1564.3  8494.0 31523.2  93351.6    93419
read      434.5   564.8    74.4   155.8   184.7   372.9   456.9   505.6   544.9   596.9   675.8   817.4  1346.1  6641.6 29402.6  98345.9    98284
read      400.7   520.1    74.4   142.0   163.3   331.3   420.1   474.0   515.3   565.4   629.5   737.9  1727.9  5840.9 24738.1  71390.4    71313
read      396.1   499.5    80.4   138.1   157.7   333.9   432.8   494.9   538.3   585.8   640.8   731.4  1353.0  5927.7 19269.8  42037.6    42089
read      392.8   536.8    74.4   137.8   157.0   329.9   424.5   482.9   526.4   574.5   630.5   719.4  1449.6  5982.0 28679.0  46506.3    46458
read      418.7   677.1    80.4   138.6   158.1   334.6   446.9   511.5   553.3   599.5   658.5   793.3  1478.6  7331.0 31455.3  30747.7    30755
read      398.5   517.5    80.4   138.7   158.3   336.2   433.8   494.4   538.0   586.3   641.5   735.6  1430.9  5501.2 27902.0  42904.7    42889
read      440.7   608.2    80.4   154.4   182.1   368.8   455.3   506.1   546.3   599.6   680.0   829.4  1721.6  8366.2 29934.4  93590.9    93552
read      407.1   552.7    80.4   142.2   163.4   335.0   427.2   482.7   524.4   574.2   637.5   755.0  1748.6  6633.4 26127.7  65700.9    65694
read      456.8   780.0    74.4   136.3   156.3   337.6   467.4   541.8   598.8   681.1   803.8   995.0  1774.1  7947.6 32453.6  29525.0    29574
read      403.1   608.6    74.4   137.5   157.1   329.6   422.7   478.4   520.6   569.5   629.2   733.5  1699.0  6875.4 30451.4  51391.9    51355
read      410.2   531.8    74.4   143.5   165.5   338.7   431.2   486.4   527.4   576.3   639.4   754.1  1848.3  5737.3 24266.1  67435.6    67361
read      481.4  1082.8    80.4   140.9   162.9   369.3   466.4   517.0   553.3   600.2   664.4   783.1  3056.5 13665.9 36656.5  16286.8    16287
read      469.4   834.0    74.4   149.3   175.1   362.0   452.0   507.8   552.0   611.3   694.6   889.3  2155.4 10650.2 32291.8  81385.8    81508
read      422.5   629.7    74.4   148.1   173.0   350.6   434.6   486.9   528.0   579.9   651.4   779.6  1729.2  7977.2 30601.6  87506.7    87619
read      436.6   439.1    74.4   158.1   188.3   385.4   473.6   524.9   564.3   616.8   697.3   853.1  1184.2  4902.5 17100.0  99063.1    99068
read      392.7   513.8    80.4   138.1   157.8   331.3   425.4   482.1   524.3   572.9   632.2   729.4  1463.2  5799.9 24420.9  51425.9    51267
read      368.8   604.3    80.4   140.8   162.5   337.0   400.8   435.4   459.3   486.6   521.1   577.3   835.1  6571.3 31673.7  11824.4    11822
read      426.7   704.7    74.4   149.2   175.8   352.6   432.9   482.0   521.1   573.0   647.2   779.4  1649.0  9403.8 31411.6  97484.3    97494
read      423.2   670.0    74.4   150.3   176.7   353.4   435.2   485.3   524.9   575.9   647.4   775.0  1551.9  8731.5 31185.5  97453.9    97350
read      390.6   542.3    74.4   137.5   156.9   324.3   415.8   472.5   515.6   565.7   626.0   723.3  1521.3  5919.4 29038.6  55412.7    55460
read      427.9   706.6    74.4   147.3   171.5   347.0   432.9   485.2   525.9   577.0   647.1   778.2  1771.2  9755.7 31244.2  85942.1    85984
read      421.1   688.9    74.4   145.0   168.5   343.1   429.0   482.0   523.6   575.9   645.0   772.2  1771.1  8599.3 31962.8  82050.1    82043
read      382.3   417.3    74.4   137.9   157.5   326.8   418.9   475.5   517.3   565.4   623.4   713.4  1380.8  3598.0 17626.7  53102.6    52873
read      432.7   857.3    80.4   140.2   162.4   358.5   440.3   481.8   510.7   547.4   595.8   680.7  2222.7  9759.9 32116.1  13946.1    13911
read      397.9   536.4    74.4   137.9   157.8   333.0   428.0   485.8   528.4   577.5   636.1   735.5  1535.0  5385.2 29495.7  49832.9    49984
read      358.4   506.7    86.8   147.2   171.2   329.3   379.2   408.7   430.2   454.9   485.8   536.2   945.1  6588.8 20100.3   9260.5     9274
read      501.6  1018.8    80.4   137.2   157.8   350.3   491.9   580.1   651.7   738.9   842.9   998.9  2853.4 11007.1 36415.5  27152.9    27187
read      480.3  1138.8    80.4   135.2   155.4   342.1   442.5   510.8   567.9   632.5   710.9   831.7  3197.4 17104.3 36183.4  18723.3    18735
read      451.3   782.1    74.4   148.0   173.7   356.6   440.2   492.7   535.6   592.9   680.6   849.7  2000.1  9729.9 31899.5  86378.8    86505
read      408.0   514.7    74.4   147.4   172.4   346.1   428.7   477.9   516.6   567.4   638.6   771.3  1548.0  6365.5 26544.8  93078.9    93039
read      406.5   591.6    74.4   140.9   162.9   333.5   417.1   467.6   507.4   557.5   627.2   755.0  1797.6  6870.2 30385.8  75930.4    75999
