Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715962516342
Timestamp end: 1715963416855

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      287.3   380.4    74.4   136.3   157.4   263.6   297.7   316.2   330.1   345.7   369.2   412.7   708.5  4677.8 13554.0   7382.4     7434
read      364.6   308.0    68.9   124.8   146.8   335.4   417.1   463.2   496.9   537.5   591.3   683.0   918.0  2724.1 10232.6  67134.5    67201
read      374.7   302.7    68.9   128.5   152.6   340.3   422.6   468.7   503.9   547.7   612.4   719.7   988.1  2839.6 10168.2  85930.7    85927
read      368.6   261.0    63.8   125.4   147.7   342.1   426.3   472.0   505.5   545.7   599.5   689.9   924.3  2342.1  8649.8  63941.6    63953
read      334.6   208.9    68.9   120.8   140.3   316.9   381.1   421.4   452.8   490.0   535.0   603.0   792.3  1528.1  8209.2  31709.7    31595
read      394.8   474.8    63.8   127.7   153.5   348.5   432.6   480.0   515.3   560.6   628.6   750.9  1118.0  4675.3 17968.1  87899.4    87879
read      411.8  1297.0    68.9   124.7   151.6   287.7   334.7   363.5   386.7   415.7   456.8   537.3  3751.0 29357.7 38236.5   7307.4     7287
read      380.8   377.6    68.9   124.4   146.5   337.0   423.3   470.3   504.6   546.5   604.2   706.4  1352.7  3848.0 12258.8  62167.5    62295
read      336.5   906.0    74.4   130.5   155.5   266.7   304.5   324.8   340.6   361.0   390.4   455.6  1903.2 10931.7 38195.7   6572.5     6561
read      386.4   761.4    68.9   117.7   137.4   305.6   379.6   429.5   468.0   516.7   595.2   798.3  1423.0  8505.5 35505.9  22486.5    22532
read      394.6   484.9    68.9   126.0   148.8   342.1   427.2   473.2   506.9   548.5   608.9   719.2  1652.8  5989.0 19097.7  60683.6    60653
