Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715952999044
Timestamp end: 1715953899847

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      272.4   312.9    80.4   132.7   152.6   255.5   287.4   304.6   316.7   332.2   352.1   395.2   562.0  4939.8 11638.0   7249.0     7434
read      375.6   402.7    68.9   126.1   148.5   331.3   414.7   462.0   498.3   542.8   604.9   711.8  1235.4  3843.6 12760.0  66628.5    67201
read      372.1   415.3    68.9   126.1   149.2   333.6   414.5   459.9   494.2   538.1   605.0   713.3   980.2  3909.2 13376.8  86078.0    85927
read      352.1   334.2    68.9   123.6   145.0   321.1   401.7   445.2   476.3   515.5   567.4   647.5   884.8  3112.1  9317.2  63761.5    63953
read      329.3   259.5    68.9   119.0   137.8   305.9   372.4   413.0   443.2   478.3   522.4   588.3   794.9  2141.2  9937.5  31617.5    31595
read      362.2   272.4    63.8   124.5   148.2   332.0   411.7   457.8   492.0   535.3   600.4   704.3   923.9  1551.1 11464.6  87791.0    87879
read      286.3   489.0    74.4   124.3   143.8   251.9   285.5   303.7   318.0   335.4   358.6   402.7  1351.4  6360.7 19761.1   7419.5     7287
read      354.4   254.8    68.9   122.5   143.8   327.2   408.1   450.8   481.5   519.7   572.1   655.0   902.8  2418.7  8658.0  62031.0    62295
read      288.3   538.9    74.4   124.7   146.1   245.3   279.3   298.4   313.1   331.1   357.1   404.4  1141.3  8504.3 19494.1   6598.0     6561
read      346.9   459.2    68.9   119.1   137.3   296.7   369.5   415.2   447.1   481.9   525.6   616.3  1341.2  4797.0 26337.5  22488.5    22532
read      352.0   244.0    63.8   123.0   143.9   321.0   400.9   447.8   482.9   525.2   576.7   655.6   950.5  2440.5  7659.2  60921.5    60653
read      343.5   203.2    68.9   124.5   144.7   320.4   398.7   443.6   476.4   514.7   563.6   635.0   810.2  1678.8  7309.9  59190.0    59076
read      350.9   299.5    68.9   124.4   144.7   320.7   398.7   442.2   475.1   514.4   563.8   637.6   886.3  3116.3  9457.8  60081.5    60154
read      326.5   256.1    68.9   123.2   142.2   299.9   379.5   425.2   454.1   484.2   519.3   573.1   776.8  1736.5  8597.1  22966.5    22964
read      305.5   471.6    80.4   140.0   161.2   286.4   319.8   338.7   351.9   367.8   389.8   429.5   580.7  7801.7 17433.9   8179.0     8172
read      322.3   196.4    68.9   119.0   137.1   298.2   374.6   424.0   456.9   491.2   530.0   581.4   712.6  1530.8  6239.9  27311.5    27652
read      331.9   199.7    68.9   121.3   140.1   308.8   382.6   429.5   464.6   504.2   550.0   614.3   749.8  1554.2  7820.9  37639.5    37594
read      323.4   242.7    74.4   120.4   139.0   297.3   373.9   419.4   450.3   481.5   517.1   570.3   740.7  1796.5  9700.1  24561.0    24367
read      338.4   358.7    68.9   121.1   140.0   311.3   383.2   429.0   463.3   502.1   544.5   604.6   781.8  2933.8  8927.5  34024.5    33771
read      357.3   283.7    68.9   124.9   147.1   323.0   404.1   451.0   486.6   532.3   594.0   688.0   928.0  2020.3 10268.2  84814.5    84944
read      363.4   261.2    68.9   125.0   147.9   335.0   414.9   458.8   491.3   532.8   594.5   708.7   923.2  1731.1 10891.1  85550.5    85666
read      340.6   219.0    68.9   121.5   142.3   321.4   394.2   433.4   462.3   497.7   542.7   620.0   853.0  1590.8  8734.7  52134.5    51918
read      343.8   238.9    68.9   121.0   140.0   318.6   386.9   428.5   459.0   496.7   545.9   637.6  1036.3  2093.6  7569.0  34186.5    34406
read      337.5   319.7    68.9   117.6   135.9   311.8   374.5   414.4   444.8   480.7   525.1   594.9   966.5  3888.2  7916.7  28690.0    28664
read      346.3   350.8    74.4   121.6   141.0   318.8   388.6   427.4   457.1   494.6   542.7   621.0  1009.9  3024.8 10938.1  38295.5    38289
read      347.2   420.2    74.4   121.1   139.3   297.9   369.3   415.1   446.5   482.0   531.5   653.7  1091.6  5714.1 17410.4  20620.0    20658
read      345.8   588.7    74.4   122.4   141.1   301.1   364.4   402.2   431.3   469.1   528.6   641.5  1052.2  3954.1 36383.9  13810.5    13840
read      399.9   558.1    68.9   128.7   154.5   338.7   415.3   460.6   497.3   547.3   625.0   748.0  1548.4  6728.7 27227.9  92944.0    93419
read      373.6   371.3    68.9   128.1   153.5   328.7   405.2   451.0   486.7   533.1   599.0   713.7  1083.2  4525.7 12397.2  98972.5    98284
read      383.6   431.4    68.9   124.4   147.2   332.4   415.6   463.0   499.2   543.9   609.7   718.7  1456.2  4875.4 14152.8  71349.5    71313
read      360.6   376.6    68.9   124.9   144.5   326.7   400.8   443.1   475.4   517.0   567.0   647.1  1068.3  4581.7 16553.3  41738.0    42089
read      349.7   249.0    68.9   124.7   144.7   322.6   396.6   438.4   469.9   508.0   555.4   633.6  1031.6  2497.1  8282.4  46699.0    46458
read      335.0   253.0    68.9   119.8   137.9   309.6   379.7   425.1   457.3   494.0   538.9   607.9   859.1  2678.4 11437.6  30887.0    30755
read      358.6   286.3    68.9   124.2   144.2   327.0   401.4   442.8   474.6   514.6   567.3   654.4  1156.0  3473.5  9291.9  42899.0    42889
read      384.7   399.0    68.9   128.7   153.7   334.1   414.7   462.2   499.3   547.0   619.0   734.2  1299.0  4923.2 12730.4  93875.5    93552
read      360.8   296.7    68.9   123.3   143.5   322.1   404.6   452.5   487.9   531.3   585.7   669.5  1119.0  3375.4  9597.7  65886.0    65694
read      348.7   345.4    68.9   120.0   138.2   312.0   400.0   453.6   489.8   528.6   573.1   640.8   933.9  2561.6 13480.7  29533.0    29574
read      362.1   267.1    68.9   124.9   145.7   330.9   412.6   459.0   494.5   536.9   589.0   669.7  1119.4  2247.7  8590.2  51145.5    51355
read      374.7   343.2    68.9   124.1   145.0   330.6   416.2   465.1   502.8   548.8   607.5   700.8  1346.9  3675.3 11185.7  67460.5    67361
read      380.6   749.9    74.4   123.5   143.2   314.0   389.8   431.2   460.8   496.4   549.2   690.1  1546.9  8543.1 35668.7  16139.0    16287
read      387.1   482.2    68.9   124.6   147.2   336.0   418.0   463.6   498.5   542.5   610.2   727.0  1167.7  6085.4 18198.3  81630.0    81508
read      371.7   407.5    68.9   124.1   147.2   328.9   407.0   451.5   484.2   527.5   591.7   704.9  1130.7  3718.7 15610.7  87360.5    87619
read      392.0   432.0    68.9   129.0   155.8   340.7   416.0   459.7   494.9   542.8   621.6   750.8  1521.2  5734.1 16356.6  98672.0    99068
read      364.5   263.7    68.9   125.7   146.8   333.9   414.6   457.5   488.4   526.7   579.7   668.6  1093.3  2909.1  7488.2  51292.5    51267
read      325.7   532.4    74.4   118.1   135.8   287.5   339.4   372.1   399.5   433.3   485.3   582.3   940.7  4923.3 28586.1  11854.0    11822
read      373.3   423.5    63.8   126.6   151.2   331.5   408.6   453.7   487.5   531.7   596.3   706.0   944.4  5422.2 17321.5  96923.0    97494
read      354.1   310.9    68.9   124.0   147.2   321.8   398.9   443.0   474.6   516.2   577.3   679.4   894.8  2321.8 12370.9  97087.0    97350
read      362.2   283.5    68.9   123.0   144.4   329.0   407.9   451.4   482.5   520.2   571.0   659.1  1216.4  2877.3  8650.4  55372.5    55460
read      379.5   377.9    68.9   126.5   150.5   336.5   416.0   460.7   495.2   539.4   608.6   726.2  1129.7  4128.6 10783.1  86225.0    85984
read      372.6   293.8    68.9   124.9   148.5   333.9   414.7   459.8   493.4   537.3   604.1   714.5  1138.1  3184.1  9150.2  82205.5    82043
read      364.9   280.5    74.4   126.7   147.6   334.5   414.7   459.7   492.6   532.9   585.1   669.0  1005.8  2803.2 12129.0  52895.0    52873
read      354.2   407.2    74.4   126.7   146.4   314.8   382.2   421.8   449.2   483.0   534.9   651.9   939.2  5131.1 13484.4  13995.0    13911
read      365.6   454.3    68.9   123.5   143.8   325.3   402.0   445.5   478.3   520.5   572.8   660.1  1209.5  3896.7 13612.9  49880.0    49984
read      374.0   921.7    74.4   129.9   152.9   301.3   349.4   379.7   403.9   435.2   476.2   548.3  2205.2  8653.7 36635.4   9258.5     9274
read      363.4   354.9    68.9   121.6   140.7   315.4   390.2   438.7   476.0   519.0   578.6   730.2  1207.2  4515.3  7967.3  27127.0    27187
read      479.2  1283.0    74.4   117.1   136.9   311.0   411.4   487.8   563.1   652.1   736.0   865.4  3986.7 18063.1 39839.1  18650.5    18735
read      419.1   576.6    63.8   128.3   154.2   346.5   426.0   474.9   517.4   576.3   665.7   820.6  1878.2  6294.9 30873.8  86377.5    86505
read      347.7   315.2    68.9   123.7   146.1   317.3   395.0   438.8   470.9   511.8   571.6   669.0   855.8  1376.2 13023.0  92925.5    93039
read      353.0   269.0    63.8   121.2   142.7   325.4   404.3   449.1   481.6   522.0   579.9   678.0   876.4  1374.7  9690.8  75907.0    75999
read      336.7   376.4    68.9   117.4   135.2   309.0   372.8   411.3   440.3   475.6   522.4   599.2   938.7  3784.9 12839.2  32401.5    32324
read      402.3   477.4    68.9   129.0   154.4   349.1   431.1   477.0   512.7   561.6   640.3   769.7  1458.2  4730.1 17306.2  84081.0    84255
read      385.4   409.9    68.9   126.0   149.5   339.9   419.9   464.1   498.6   543.0   614.2   736.8  1153.5  4533.7 11807.6  81511.5    81759
read      357.2   263.6    74.4   122.2   142.3   329.8   402.3   443.3   473.6   511.2   563.8   655.2  1121.6  2790.9  9875.8  37417.5    37291
read      364.7   337.9    68.9   124.3   145.8   328.7   409.9   452.8   484.1   522.5   575.9   664.6  1090.8  3023.3 10180.9  53797.5    53818
read      346.4   314.9    74.4   120.3   139.4   314.0   383.6   428.5   462.1   500.3   546.8   624.7  1052.0  3843.0  9203.6  30306.0    30297
read      342.2   236.0    68.9   120.2   139.0   315.4   389.9   435.5   469.7   509.0   555.0   628.4   974.0  1790.2  9224.4  31482.5    31569
read      356.1   302.5    68.9   123.0   143.0   322.2   397.8   442.1   474.7   515.4   567.4   647.2  1125.9  3809.2 12351.3  38851.0    38927
read      351.1   728.7    68.9   128.7   148.5   302.0   353.9   387.5   414.0   449.9   502.9   590.2   991.0  7848.0 35933.5  10690.5    10652
read      389.2   508.0    68.9   130.1   155.7   338.2   417.6   463.1   499.2   547.2   620.7   738.9  1073.8  6576.0 27299.2  97832.5    98119
read      363.3   338.2    74.4   121.8   142.8   324.2   401.3   442.7   474.0   513.0   566.6   654.3  1393.1  4826.5 10439.8  48166.5    48176
read      347.6   293.4    68.9   120.1   139.8   322.5   390.7   429.8   460.2   496.5   544.9   627.1   947.1  3630.4  7876.5  35248.0    34929
read      377.5   358.9    68.9   124.4   146.8   333.7   415.1   461.9   497.4   541.4   605.6   716.0  1356.8  3610.6 11993.8  69637.0    69735
read      341.2   289.1    68.9   117.6   135.8   295.4   364.3   410.4   444.4   485.8   552.5   731.5  1018.6  3426.8 12157.7  20848.5    20753
