Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715904275311
Timestamp end: 1715905175906

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      318.3   328.4    80.4   156.4   180.4   301.9   336.3   354.2   367.1   382.9   402.8   439.5   619.6  4798.9 12382.0   7347.6     7434
read      366.7   346.5    68.9   129.7   150.2   327.5   417.3   469.8   508.5   553.1   608.3   692.2   919.4  2784.6 10840.0  67082.4    67201
read      358.1   312.1    63.8   131.2   152.8   318.8   399.3   449.5   488.6   535.6   596.3   690.8   901.2  3483.3  8105.5  85898.0    85927
read      350.1   231.7    63.8   125.7   145.5   318.1   404.9   456.4   494.0   536.7   587.0   661.1   856.7  1876.2  8466.3  63951.0    63953
read      336.8   245.4    68.9   121.5   140.6   305.9   394.8   447.7   485.7   523.2   562.2   614.8   740.3  1583.6  8498.0  31590.6    31595
read      353.4   342.4    63.8   129.0   150.0   316.7   397.8   446.7   484.7   530.4   588.6   683.1   883.9  1911.1 12734.8  87732.6    87879
read      327.7   447.7    74.4   152.7   177.4   303.6   340.5   360.8   374.4   393.8   419.3   468.3   794.7  5301.2 24784.6   7244.6     7287
read      391.0   469.7    68.9   128.5   149.4   330.9   420.4   474.5   515.4   562.5   623.4   733.3  1594.3  5069.5 20409.3  62227.8    62295
read      507.8  1654.0    80.4   153.5   183.7   320.3   367.2   394.2   414.6   439.9   484.0   613.3  5128.6 30743.6 42871.5   6521.4     6561
read      383.4   741.6    63.8   124.2   144.3   315.7   408.5   458.5   491.2   524.4   564.1   645.1  1243.0  8949.1 35675.2  22529.0    22532
read      342.7   252.2    63.8   123.9   143.2   313.2   396.2   444.4   481.5   523.9   572.2   636.3   793.4  2302.6  8003.7  60493.2    60653
read      347.5   210.5    68.9   125.8   145.5   319.7   404.9   454.3   490.7   532.4   581.1   649.4   816.1  1603.5  7795.3  59096.0    59076
read      352.4   222.7    68.9   127.1   146.8   323.6   408.9   458.9   495.5   537.0   586.9   665.6   857.2  1661.1  7951.7  60083.4    60154
read      346.8   272.1    68.9   124.6   144.7   312.7   404.3   453.1   485.3   517.4   551.3   604.8   911.9  3471.9  8696.3  22866.4    22964
read      407.5  1038.7    86.8   153.1   179.0   322.7   369.7   396.6   417.1   442.5   482.8   551.5  2635.6 12395.8 36792.7   8069.6     8172
read      378.6   575.4    68.9   124.0   143.7   318.5   413.6   472.0   508.3   545.3   590.0   682.7  1189.0  8386.4 24075.5  27646.0    27652
read      376.7   471.6    68.9   123.0   142.6   318.7   409.3   467.0   508.6   552.1   603.2   688.9  1292.4  6452.7 16301.7  37758.2    37594
read      369.7   559.5    68.9   121.3   140.6   312.3   406.9   459.8   494.5   529.8   571.0   638.9  1191.9  7104.6 27382.6  24428.8    24367
read      359.7   471.8    63.8   120.1   139.3   310.4   398.6   456.0   496.3   536.9   581.2   642.1  1070.9  5695.6 15752.6  33718.0    33771
read      370.5   425.2    68.9   128.2   149.7   318.6   398.8   450.3   492.1   542.4   607.4   707.9  1244.4  4289.2 15585.2  85051.6    84944
read      344.9   282.0    63.8   126.9   147.1   308.9   387.7   435.5   474.2   521.4   579.5   665.0   840.4  2580.9 11710.6  85779.2    85666
