Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1715905211509
Timestamp end: 1715906112121

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      321.3   368.2    86.8   156.6   180.7   305.6   339.4   357.5   369.9   386.1   404.5   443.9   635.3  6594.4 15247.7   7393.8     7434
read      367.3   278.6    63.8   130.6   150.7   328.8   420.5   474.3   512.8   557.7   613.4   699.4   940.1  3024.3  7922.9  66913.2    67201
read      368.2   275.0    68.9   135.0   156.9   329.6   412.7   463.4   502.6   550.4   616.9   715.9   937.8  2152.9  8607.2  85872.8    85927
read      369.9   442.3    68.9   130.3   150.4   328.9   418.7   471.0   509.2   551.5   603.1   679.6   928.4  3256.8 17235.2  63828.2    63953
read      345.6   248.2    68.9   124.6   143.9   312.4   401.4   459.3   496.7   533.1   573.0   625.9   746.2  2266.6 10275.2  31674.4    31595
read      362.7   264.4    63.8   135.2   157.3   326.9   408.4   458.9   497.0   543.3   604.4   698.0   900.5  2295.5  8562.8  87782.8    87879
read      329.2   446.4    86.8   161.0   183.6   307.8   342.0   360.4   372.5   389.2   409.0   450.2   775.4  4699.5 22748.2   7308.0     7287
read      388.0   440.7    68.9   133.0   153.3   333.3   425.9   480.8   522.0   568.3   626.8   725.6  1415.0  4943.6 15058.3  62024.0    62295
read      554.1  1931.4    80.4   162.1   190.2   324.8   372.2   399.2   421.1   448.7   489.4   647.1  6387.0 31894.6 40181.4   6602.2     6561
read      378.2   544.4    68.9   130.3   150.9   320.7   415.2   465.9   498.3   532.4   573.5   652.6  1058.8  7770.7 25277.4  22566.2    22532
read      348.0   246.7    63.8   126.0   145.5   319.0   405.1   455.3   492.5   534.0   581.5   647.7   804.1  1570.9  8621.5  60592.6    60653
