#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      348.4   225.5   148.8   209.3   224.3   324.5   380.3   411.7   433.1   457.7   487.3   533.2   660.3  1771.5 10317.5  30055.9    30000  1715444645945  1715444656127
read      355.0   228.8   148.8   211.7   226.5   329.2   385.0   416.6   438.2   463.6   495.5   545.1   698.0  2369.6  8695.0  30049.0    30005  1715444657638  1715444667775
read      359.1   228.1   160.7   214.2   228.7   330.5   388.0   419.3   440.8   465.2   497.1   547.2   747.6  3333.1  8101.3  30007.2    30010  1715444669284  1715444679397
read      360.6   223.7   160.7   215.1   229.0   331.0   388.8   420.8   443.2   468.6   501.9   557.7   754.3  3040.9  8255.4  30035.4    30015  1715444680907  1715444691026
read      389.3   559.2   160.7   217.1   230.5   338.8   395.5   426.9   449.5   474.8   508.4   571.4   812.0  9355.5 19805.5  30001.2    30020  1715444692536  1715444702653
read      369.2   428.0   160.7   211.4   225.3   325.7   382.8   415.4   438.9   467.5   505.3   568.9   793.7  7633.8 16267.4  30020.6    30025  1715444704161  1715444714283
read      369.5   391.6   148.8   210.7   224.9   329.4   388.7   422.5   446.7   473.6   509.1   571.3   760.0  6441.8 14986.3  30044.4    30030  1715444715792  1715444725908
read      389.0   379.4   160.7   213.1   228.7   351.1   416.7   450.9   474.0   501.7   538.5   603.0   820.2  6076.3 12914.8  30042.0    30035  1715444727417  1715444737532
read      349.5   295.6   160.7   208.8   222.0   319.1   373.8   403.9   426.5   452.6   485.4   537.8   681.7  3954.1 11857.2  29919.7    30040  1715444739044  1715444749164
read      347.9   353.8   148.8   206.9   220.3   311.6   365.5   396.3   419.0   445.2   477.7   529.1   670.4  5287.0 13405.3  30052.5    30045  1715444750675  1715444760798
read      345.2   347.0   148.8   206.6   219.9   311.4   361.8   390.7   411.9   436.8   470.0   523.7   670.4  5530.0 12812.4  30079.7    30050  1715444762307  1715444772427
read      369.1   377.8   148.8   209.9   224.5   330.6   392.5   427.1   451.9   479.9   513.8   570.5   729.7  5307.9 14933.6  30177.5    30055  1715444773938  1715444784058
read      367.5   457.3   148.8   210.2   224.3   319.9   374.1   405.6   429.1   456.6   491.8   549.2   864.9  7265.2 19096.9  30056.8    30060  1715444785569  1715444795682
read      347.5   201.3   148.8   209.2   224.0   325.1   382.4   413.5   434.1   457.8   486.6   531.6   644.6  1398.1  8116.2  30064.0    30065  1715444797190  1715444807308
read      348.7   201.3   148.8   209.6   224.6   324.9   381.8   413.3   434.6   459.1   488.9   535.3   658.3  1660.0  8490.9  30034.0    30070  1715444808816  1715444818929
read      346.5   224.2   148.8   210.5   225.2   322.5   377.7   408.3   429.7   453.8   482.6   527.0   643.6  1509.4  8945.2  30136.2    30075  1715444820439  1715444830554
read      350.9   218.1   160.7   216.5   231.1   327.8   382.3   412.2   432.8   456.6   484.8   526.6   637.1  1658.1  8894.2  30113.5    30080  1715444832062  1715444842182
read      349.8   206.4   160.7   213.7   228.5   326.2   381.6   412.7   433.5   457.3   485.5   527.9   637.2  1819.4  8636.0  30028.5    30085  1715444843692  1715444853816
