Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715961089364
Timestamp end: 1715961990026

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      272.0   353.3    74.4   123.8   143.8   252.3   285.3   302.6   315.1   330.8   351.3   394.5   627.9  4584.4 15321.4   7361.8     7434
read      393.0   489.7    63.8   126.7   149.1   331.2   414.2   460.7   495.4   538.6   597.8   713.4  1911.9  5661.5 15894.6  67051.4    67201
read      386.7   492.8    68.9   128.6   151.4   330.9   410.0   458.1   495.7   543.8   611.3   722.1  1479.5  7389.9 14331.4  85944.2    85927
read      352.3   250.9    63.8   126.0   147.0   323.3   403.3   448.9   482.6   522.7   574.5   656.4   904.5  2109.4  8418.8  63979.8    63953
read      329.3   257.8    68.9   120.5   138.6   303.9   379.3   425.5   458.3   495.1   537.7   594.9   733.4  1906.5  9240.9  31514.3    31595
read      354.6   252.0    63.8   126.5   148.5   321.1   399.8   447.2   483.6   529.6   589.9   684.9   911.5  2206.0  8003.8  87961.8    87879
read      306.0   558.7    74.4   144.0   163.9   276.7   310.2   327.7   340.5   356.9   378.6   425.0   818.4  7716.3 30712.6   7263.8     7287
read      356.1   289.1    68.9   123.2   144.2   323.6   404.7   449.2   480.8   519.4   570.6   650.6  1003.2  2857.1  8894.7  62180.0    62295
read      392.0  1337.4    68.9   121.2   147.2   268.0   309.7   333.0   350.2   372.8   406.2   482.9  3742.6 30383.9 34462.0   6552.7     6561
read      372.5   655.9    63.8   115.5   133.8   295.6   364.9   412.5   450.0   496.0   571.1   785.0  1516.9  8559.6 31263.6  22465.1    22532
read      386.1   505.9    63.8   126.9   148.2   331.6   413.4   459.2   494.4   538.4   596.0   698.5  1665.3  5104.9 24758.6  60663.1    60653
read      383.8   532.3    68.9   125.3   146.7   333.0   414.4   459.1   491.8   532.0   586.1   682.1  1585.4  5547.6 30174.6  59133.9    59076
read      381.4   458.2    68.9   124.8   146.2   331.5   413.3   457.5   489.8   529.7   583.9   679.9  1595.8  5891.1 17821.2  60112.9    60154
read      363.6   606.6    68.9   121.0   139.3   303.6   381.6   428.3   460.5   497.3   543.6   641.9  1261.0  6993.1 30997.0  22945.9    22964
read      459.3  1495.2    74.4   125.9   149.6   300.5   354.1   387.1   412.2   442.9   485.5   565.6  5313.6 30358.1 40383.6   8193.6     8172
read      345.3   341.4    68.9   121.4   139.9   310.4   383.8   431.2   466.2   505.2   549.5   624.7  1041.8  2904.4 12143.2  27653.0    27652
read      353.4   394.0    68.9   121.9   140.6   320.1   390.4   433.5   468.3   510.0   560.3   631.5  1080.1  3362.6 15553.2  37569.5    37594
read      344.0   425.6    68.9   120.6   138.7   301.5   374.3   421.1   453.9   490.2   534.2   610.8  1066.8  4688.7 16023.0  24435.6    24367
read      360.1   461.8    63.8   121.3   139.9   316.2   393.4   443.2   481.5   524.0   572.4   640.3  1156.1  4296.4 18451.5  33748.5    33771
read      409.8   692.8    68.9   126.7   150.8   343.8   424.6   470.9   506.5   552.6   624.4   750.4  1492.9  9251.1 31345.2  85022.1    84944
read      371.3   352.3    63.8   126.3   149.2   327.5   407.5   455.1   491.6   538.3   603.8   713.1  1085.8  4050.6 10569.3  85758.1    85666
read      368.5   311.9    68.9   128.7   149.7   337.9   417.6   461.5   495.0   535.6   586.6   664.5  1086.1  2958.0 10121.1  51904.7    51918
read      348.3   324.9    68.9   121.8   140.8   322.3   388.5   428.7   460.8   500.2   548.4   624.9  1044.3  2828.0 12210.9  34367.8    34406
read      348.9   272.0    68.9   123.9   142.9   319.0   394.5   442.6   478.2   517.5   562.5   627.2   987.1  2426.5 11491.6  28638.8    28664
read      351.2   322.5    68.9   122.1   141.6   326.1   393.8   432.8   463.4   500.6   547.9   622.1  1011.4  3206.7 10453.3  38290.2    38289
read      352.0   463.2    68.9   124.6   143.5   303.4   373.9   418.5   450.6   488.9   539.1   661.3  1133.8  5388.6 20618.9  20624.6    20658
read      348.1   576.8    68.9   122.1   140.7   294.6   353.6   390.0   419.8   461.3   531.4   650.9  1280.6  6595.7 31074.2  13814.9    13840
