Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715955132646
Timestamp end: 1715956033387

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      265.6   387.7    74.4   129.4   148.5   241.6   272.8   289.7   301.7   316.8   338.0   375.8   580.5  5621.1 19385.1   7315.5     7434
read      357.5   346.1    63.8   126.5   147.9   321.1   401.7   448.3   482.7   524.5   579.2   672.6   928.3  2788.0 12226.3  66622.5    67201
read      362.4   301.4    68.9   129.8   153.0   328.3   406.5   453.3   488.7   533.2   593.2   688.4   898.2  3166.8 12345.5  85865.5    85927
read      359.9   279.9    68.9   129.4   150.2   330.9   411.9   457.9   493.0   534.8   586.9   666.4   909.1  2488.6 15120.4  64311.0    63953
read      342.1   353.6    74.4   125.2   143.8   314.0   385.4   430.8   465.6   504.7   548.3   611.7   787.3  4227.7 16196.3  31532.5    31595
read      358.6   302.9    68.9   129.7   152.5   325.4   402.6   449.4   485.4   531.5   592.8   687.3   896.0  1771.0 12545.1  87936.0    87879
read      310.9   464.3    86.8   142.5   164.8   275.8   312.1   331.3   344.7   362.7   386.7   432.9  1309.2  7555.1 15697.7   7375.0     7287
read      355.5   274.3    68.9   125.7   147.3   326.7   407.2   452.6   485.3   525.0   575.6   656.1   903.1  2361.2 13067.1  62071.5    62295
read      286.3   473.6    74.4   128.2   149.8   248.9   283.2   301.3   314.8   331.4   353.8   403.2   916.2  8533.3 13601.1   6684.0     6561
read      361.6   500.7    68.9   123.8   142.2   306.6   375.0   422.2   458.4   500.4   559.5   702.8  1220.4  5197.2 28459.3  22422.5    22532
read      390.6   363.8    74.4   130.4   153.4   348.2   433.9   479.8   512.8   555.3   612.9   710.5  1420.9  4031.3 10210.4  60840.5    60653
read      381.3   296.3    74.4   129.7   152.5   343.7   431.1   477.7   511.2   550.6   608.5   698.3  1259.7  2956.1  8862.9  58967.5    59076
read      400.1   560.1    74.4   128.2   149.9   333.6   418.8   466.0   501.3   543.9   606.0   736.2  1845.1  6575.1 31325.4  59927.5    60154
read      359.6   519.9    68.9   121.2   140.1   304.8   369.8   414.3   448.5   488.0   537.2   648.6  1347.0  5523.0 30970.4  22899.5    22964
read      424.8  1210.6    74.4   124.1   146.6   289.6   340.7   373.0   400.8   438.2   494.3   618.8  4173.9 14347.5 39963.1   8321.5     8172
read      433.4   878.0    68.9   123.5   142.6   313.5   397.5   460.4   512.2   595.6   774.7   992.4  1940.9 10457.0 41228.0  27649.0    27652
read      332.5   244.5    68.9   121.2   140.2   311.4   379.5   420.8   451.9   489.5   536.7   608.1   784.1  1883.8  8442.1  37674.0    37594
read      326.5   236.7    74.4   122.0   140.9   302.9   374.6   417.5   446.7   478.3   515.2   571.5   716.0  2651.5  8821.7  24330.5    24367
read      330.5   270.2    68.9   120.8   139.9   309.1   381.3   424.2   457.7   495.9   538.9   594.7   726.6  1499.2 11124.3  33846.0    33771
read      346.8   209.1    68.9   124.1   145.9   319.0   397.3   443.3   477.2   521.2   581.2   672.9   858.6  1409.3  7432.4  84649.0    84944
read      359.4   236.5    68.9   126.4   149.5   327.4   407.4   454.9   491.8   539.3   601.1   695.1   905.2  2284.1  5708.2  85474.0    85666
read      351.0   235.3    68.9   127.6   147.8   330.0   406.4   449.2   480.2   518.8   566.8   634.6   830.1  1794.5  8569.8  51773.5    51918
read      337.5   203.4    68.9   124.2   143.1   319.2   387.0   428.9   461.6   500.4   546.6   616.9   793.5  1488.0  8172.5  34231.0    34406
read      324.6   192.0    68.9   122.1   140.8   306.7   371.5   411.7   443.2   478.3   520.7   581.4   738.9  1541.8  7587.9  28714.0    28664
read      339.5   209.2    74.4   124.0   143.8   320.9   389.0   428.9   460.4   498.2   544.7   612.9   797.1  2793.6  6362.7  38084.5    38289
read      309.7   225.8    74.4   121.0   139.5   291.1   355.0   393.3   420.2   450.6   486.4   536.6   663.6  1558.7  8600.4  20833.5    20658
