#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3543.1  2412.6   173.5  2089.3  2222.5  3390.2  3476.0  3772.9  3839.9  3906.9  3974.0  4041.0 13313.4 31487.1 46068.0   4972.2     5000
read     2663.5  1934.5   173.5   303.4   354.1  3345.3  3496.4  3611.9  3684.1  3756.3  3864.3  3980.6  4224.5 28333.0 34384.9   9988.4    10000
read     1835.0  1916.3   173.5   300.8   357.2   721.3  3265.0  3402.2  3488.0  3590.4  3693.4  3842.6  4069.1 25935.5 34938.9  15007.8    15000
read     1577.7  1755.8   173.5   320.3   385.5   766.7  1067.8  3273.0  3412.6  3550.3  3685.4  3902.0  5646.6 20327.5 34154.4  19975.8    20000
read     1465.2  1611.7   160.7   327.3   400.8   805.1  1027.0  1369.1  3325.5  3534.7  3703.5  4002.1  5380.5 15965.2 33344.4  25065.2    25000
read     2671.7  3389.9   218.6   878.9   943.8  1173.5  2050.6  4784.6  4915.3  5045.9  5559.2  6268.5 12075.4 36975.5 48755.8  27446.8    30000
read     2489.2  3058.9   173.5   819.5   882.8  1092.4  1913.2  4678.5  4873.8  5004.6  5233.9  5949.9 10077.2 35303.7 48764.1  28938.6    35000
read     2639.2  3362.9   218.6   879.3   933.3  1145.9  2008.1  4791.1  4909.7  5028.4  5508.4  6195.7 11645.2 36072.3 40407.6  28028.0    40000
read     2411.2  2827.5   202.4   804.6   874.1  1080.5  1872.7  4521.5  4861.4  4997.2  5185.5  5882.7  9769.4 32018.9 40403.7  29235.0    45000
read     2656.4  3434.0   297.4   876.7   930.5  1152.2  2000.7  4782.3  4907.2  5032.1  5567.0  6268.6 13678.5 36738.4 48337.8  27979.0    50000
read     2455.5  2928.3   236.1   831.1   886.6  1084.8  1897.8  4599.4  4872.6  5006.8  5354.9  5958.9  9897.3 33239.2 44501.2  29001.7    55000
