#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,3576.2,2390.2,187.4,2093.2,2199.8,3386.8,3470.1,3789.9,3853.9,3918.0,3982.0,4046.0,15431.6,31302.8,41788.3,5002.8,5000
read,2749.6,2067.0,173.5,317.9,367.8,3347.1,3481.2,3611.8,3700.9,3793.1,3896.3,3999.5,7815.1,28290.5,35121.3,10034.0,10000
read,1874.6,1972.3,160.7,308.1,367.8,742.6,3278.7,3404.9,3483.8,3589.6,3698.0,3862.0,4546.2,25618.0,33692.5,15020.0,15000
read,1579.4,1728.6,160.7,323.4,384.4,752.7,1116.2,3277.8,3408.0,3540.5,3676.9,3887.5,5682.6,19977.1,30645.1,20039.8,20000
read,1459.3,1596.0,173.5,329.9,404.3,789.4,1013.8,1362.3,3321.9,3509.6,3676.7,3985.4,5407.9,16240.3,28028.7,24964.0,25000
read,2407.3,3017.1,187.4,608.6,794.1,1118.0,1903.5,3702.2,4810.1,4957.6,5105.2,5939.9,10033.7,34584.7,40964.0,28173.4,30000
read,2702.4,3376.5,297.4,887.6,949.2,1190.8,2076.3,4804.0,4930.9,5057.8,5562.7,6311.2,11369.6,35712.4,46733.2,27192.8,35000
read,2439.9,2911.7,187.4,820.5,877.4,1076.3,1873.0,4589.4,4870.2,5003.5,5244.7,5926.3,9937.5,32927.2,40192.4,29237.2,40000
read,2638.2,3302.5,218.6,881.0,931.7,1150.5,2015.0,4796.8,4917.4,5038.0,5540.6,6152.5,11647.8,36080.8,44285.0,27918.4,45000
read,2658.6,3362.9,218.6,883.0,940.0,1157.9,2007.0,4789.5,4917.2,5044.9,5569.8,6320.3,12074.6,36675.2,43857.6,27729.6,50000
read,2604.8,3185.6,255.0,879.4,932.8,1153.3,1989.4,4791.7,4911.0,5030.3,5427.0,6174.9,10220.9,35871.3,40214.4,27979.4,55000
