#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,375.3,308.3,173.5,238.2,259.0,361.0,396.4,415.2,428.2,443.2,462.4,491.8,557.4,6131.7,12314.8,5026.0,5000
read,437.9,383.3,160.7,237.1,255.5,418.2,483.2,515.5,537.3,562.4,592.3,645.1,799.5,6146.3,10788.3,10084.0,10000
read,477.6,315.3,160.7,232.5,255.8,453.2,537.1,582.2,616.0,656.2,707.2,776.4,916.8,3990.0,10869.2,14995.2,15000
read,506.6,303.9,160.7,233.8,259.4,481.1,565.3,619.9,665.2,719.3,779.2,853.0,987.8,2564.8,12914.8,20004.4,20000
read,546.0,315.4,160.7,241.2,269.6,519.1,606.9,663.8,712.7,772.8,844.0,934.7,1137.4,4020.4,12121.0,24984.6,25000
read,561.3,311.0,160.7,234.6,265.1,542.3,632.9,689.7,734.9,791.6,862.4,959.6,1135.9,2262.8,12374.2,29925.8,30000
read,581.2,388.3,160.7,240.8,270.3,556.8,661.2,722.7,768.0,821.8,890.6,990.6,1175.8,4228.9,12550.4,34875.2,35000
read,591.4,376.6,173.5,242.7,271.7,547.0,673.3,750.8,803.7,862.7,937.0,1061.2,1316.5,3916.4,12559.0,39967.0,40000
read,603.0,357.0,160.7,253.0,284.9,566.4,691.0,761.2,808.1,864.9,936.7,1050.4,1298.7,3605.6,11876.5,44931.8,45000
read,629.8,385.3,160.7,263.8,303.0,592.5,718.0,785.2,833.6,890.5,966.8,1085.2,1407.9,3385.6,13431.9,50006.3,50000
read,1271.8,715.9,160.7,894.2,957.1,1109.3,1172.8,1228.9,1281.9,1910.7,2085.9,2198.8,2375.6,8451.0,29693.7,51554.6,55000
