#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read     3619.0  2506.9   187.4  2132.6  2250.4  3500.4  3686.2  3774.4  3840.8  3907.2  3973.6  4040.1 16341.2 32550.2 44857.7   4968.0     5000
read     2635.0  2105.1   173.5   304.8   351.6  3444.6  3615.1  3681.4  3722.8  3764.3  3869.6  3985.2  4944.4 29122.8 34800.5  10002.4    10000
read     1853.0  1886.7   160.7   313.3   368.0   740.3  3280.8  3540.5  3613.1  3685.7  3758.2  3924.1  4071.1 24895.5 32405.4  14986.2    15000
read     1595.4  1774.3   173.5   321.8   383.5   781.6  1089.6  3332.4  3552.8  3654.8  3756.8  3965.4  5608.9 22536.5 34073.2  20094.0    20000
read     1457.4  1651.7   160.7   321.4   392.2   780.7  1002.5  1314.8  3494.7  3624.9  3755.1  4015.2  5376.2 19034.3 31941.0  25073.0    25000
read     2584.5  3144.0   202.4   829.3   915.7  1162.5  2047.7  4769.7  4894.7  5019.6  5283.5  6085.0 10111.1 34417.2 48259.2  27507.8    30000
read     2654.2  3305.6   202.4   876.2   938.4  1171.6  2065.0  4805.3  4924.4  5043.5  5455.2  6140.5 10751.6 35915.7 43811.6  27600.8    35000
read     2604.9  3256.8   202.4   883.1   933.6  1133.9  1984.7  4780.5  4905.9  5031.3  5529.6  6270.3 10156.0 35702.7 42071.0  27973.4    40000
read     2531.8  3051.9   202.4   858.6   906.2  1103.3  1954.2  4773.9  4897.4  5020.9  5405.8  6040.0 10066.9 33264.7 42333.2  28520.2    45000
read     2613.0  3234.1   202.4   881.9   933.8  1144.5  1992.3  4780.5  4908.0  5035.4  5568.2  6285.6 10169.9 34933.5 43812.4  27859.0    50000
read     2575.6  3176.9   255.0   864.3   915.2  1126.7  1984.2  4784.0  4904.4  5024.9  5395.0  6041.0 10138.0 35531.9 40959.9  28252.8    55000
