#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,3675.1,2544.0,187.4,2147.8,2265.2,3545.1,3704.1,3782.7,3849.0,3915.4,3981.8,4048.1,17036.6,29988.5,42588.4,5039.6,5000
read,2655.2,2076.9,160.7,312.2,365.5,3451.2,3619.2,3686.5,3728.6,3771.6,3882.8,3994.1,6136.9,28528.2,34480.4,9971.0,10000
read,1845.3,1837.7,173.5,305.6,361.7,745.7,3295.1,3537.5,3608.3,3679.1,3750.0,3911.4,4069.2,20573.7,32145.6,14943.0,15000
read,1612.6,1867.7,173.5,320.0,380.0,777.2,1087.2,3333.6,3549.1,3653.5,3757.9,3968.5,5736.8,23381.8,32548.4,19888.6,20000
read,1480.5,1666.6,160.7,327.5,399.7,813.8,1040.2,1357.8,3496.0,3629.2,3762.3,4027.3,5393.3,18697.7,32680.8,25037.0,25000
read,2100.7,2579.8,173.5,484.2,615.1,1054.7,1470.5,2173.7,3850.6,4787.5,5002.8,5732.8,9482.8,31636.8,37741.6,28849.8,30000
read,2555.4,3091.7,275.4,861.2,912.4,1127.1,1974.1,4781.5,4902.7,5023.8,5343.1,6017.4,10083.9,32895.2,40182.5,28316.0,35000
read,2665.4,3363.2,255.0,882.2,941.7,1163.5,2011.1,4783.0,4917.7,5052.3,5590.9,6394.7,10635.2,34566.5,39490.5,27563.8,40000
read,2562.6,3178.2,218.6,876.2,918.7,1112.9,1966.0,4779.4,4900.9,5022.4,5374.1,6131.1,10114.9,36158.7,48798.1,28303.9,45000
read,2588.6,3131.0,297.4,863.7,917.1,1143.9,1986.6,4784.9,4910.0,5035.0,5478.0,6169.3,10185.9,35232.6,42614.4,27989.2,50000
read,2696.2,3291.8,236.1,893.3,960.1,1188.0,2119.1,4819.9,4938.9,5058.0,5493.0,6237.7,11673.3,36663.7,43174.9,27208.4,55000
