#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,388.7,354.3,173.5,240.0,262.5,374.8,412.0,431.8,446.4,462.7,484.5,518.2,603.9,5041.0,12442.1,4970.6,5000
read,438.1,243.4,173.5,239.7,259.0,428.0,493.0,525.7,547.5,574.6,607.1,659.3,791.9,3858.2,9462.2,10089.0,10000
read,481.1,302.7,160.7,237.9,259.8,456.7,541.7,588.7,624.5,667.7,720.8,790.7,920.5,3210.6,12434.6,15054.0,15000
read,517.2,312.6,160.7,238.5,265.2,489.5,577.0,632.5,678.3,732.5,794.0,866.7,1009.4,3460.3,12686.5,19917.6,20000
read,540.2,318.0,160.7,241.0,268.4,508.5,599.9,658.0,707.6,771.7,845.5,940.0,1156.6,2910.2,12991.7,24972.2,25000
read,566.1,325.9,160.7,239.6,269.4,543.9,636.3,694.5,741.5,798.9,868.4,964.0,1151.7,3517.8,12642.9,29993.4,30000
read,578.3,361.1,160.7,240.6,267.9,548.5,660.0,725.6,773.4,829.4,900.1,1008.3,1224.8,3855.5,12462.6,35052.4,35000
read,583.7,410.6,160.7,241.3,267.9,524.6,645.7,729.0,789.6,858.1,943.8,1094.5,1428.7,4045.8,13178.0,39969.8,40000
read,598.7,360.5,160.7,249.2,281.8,567.7,687.7,753.9,800.1,855.4,927.1,1038.3,1253.6,3424.5,13298.3,45039.0,45000
read,608.7,362.3,160.7,256.5,291.6,576.7,700.4,764.9,808.7,863.4,933.3,1045.4,1277.0,3200.0,12735.7,49907.4,50000
read,685.2,421.6,173.5,287.6,340.2,627.8,761.9,842.9,903.5,980.0,1083.8,1243.4,1549.2,3831.6,15366.0,55008.0,55000
