#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      382.4   324.4   160.7   240.3   260.6   367.3   403.8   423.3   435.6   452.6   470.2   502.4   580.4  5078.1 12632.5   4961.0     5000
read      436.2   370.6   173.5   236.3   255.5   423.3   486.1   517.8   539.5   564.9   594.2   641.7   766.7  3847.0 13435.8   9987.2    10000
read      478.1   257.4   160.7   238.0   260.5   458.9   542.2   587.8   621.6   662.1   714.4   787.1   921.1  2309.4  8009.8  15003.0    15000
read      517.3   320.2   173.5   237.5   263.0   487.7   572.4   627.3   672.9   728.4   791.6   870.0  1047.4  3719.2 12446.1  19856.2    20000
read      547.5   357.0   160.7   239.2   267.6   520.6   609.1   665.4   712.9   772.3   842.5   931.7  1114.1  4780.3 12790.9  25044.2    25000
read      561.4   303.2   173.5   240.3   269.0   540.3   633.9   689.9   736.8   795.5   867.7   966.6  1160.8  1882.1 10796.1  30027.2    30000
read      566.9   358.5   160.7   236.0   261.1   522.7   634.1   705.6   762.1   828.7   910.9  1044.1  1345.9  1855.1 13431.5  35005.6    35000
read      587.1   361.4   160.7   242.6   270.9   547.7   669.0   741.2   792.6   851.5   926.2  1046.2  1322.5  3478.9 13339.4  39900.8    40000
read      606.8   389.6   160.7   248.7   279.6   557.8   689.8   767.4   820.5   881.6   962.2  1090.0  1395.8  3042.9 15775.2  44929.2    45000
read      636.0   411.0   160.7   259.2   296.8   591.9   723.9   792.6   842.3   901.8   984.1  1113.1  1459.3  5088.7 13974.5  49863.2    50000
read     1264.4   753.9   187.4   890.1   944.2  1082.4  1156.1  1216.4  1353.8  1903.2  2035.9  2157.8  2359.5 12134.1 28369.1  52349.2    55000
