#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,457.8,862.8,173.5,252.6,276.7,390.2,436.9,463.4,482.3,503.7,533.0,582.1,1884.1,11416.5,31795.4,5025.0,5000
read,553.8,937.6,173.5,242.2,265.1,465.5,556.6,610.1,645.1,686.6,738.6,817.8,2116.4,11665.1,35130.8,9986.8,10000
read,571.1,643.1,173.5,245.0,270.1,504.5,619.1,692.6,745.0,800.0,863.8,958.5,1274.3,7699.7,31020.7,14977.6,15000
read,631.8,769.3,173.5,246.2,276.5,551.1,676.7,753.5,810.1,875.3,956.6,1079.9,1544.9,11649.0,32034.9,20031.2,20000
read,675.1,756.9,173.5,248.5,283.5,622.3,748.3,814.7,861.0,918.7,994.5,1113.5,1488.0,11870.4,30641.6,24940.2,25000
read,663.7,438.4,173.5,247.7,281.4,627.5,768.5,838.9,887.3,945.1,1022.3,1154.5,1542.7,4834.0,15721.7,30012.6,30000
read,680.1,442.3,173.5,251.5,287.3,640.0,795.0,865.9,917.9,978.6,1058.7,1186.6,1532.9,4899.5,12980.2,35002.8,35000
read,783.7,802.8,173.5,266.7,316.2,708.0,869.1,954.2,1017.7,1092.9,1184.0,1354.3,2295.8,11966.1,30635.8,39947.0,40000
read,838.4,586.3,173.5,289.4,362.8,773.6,944.8,1037.8,1100.0,1173.5,1281.0,1573.2,2306.6,6806.8,19723.0,45054.2,45000
read,1516.4,1176.2,173.5,1108.9,1139.7,1280.5,1351.4,1385.5,1471.6,2185.9,2423.5,2555.3,2911.1,19691.0,37266.3,44768.4,50000
read,1549.8,1143.6,173.5,1129.1,1180.7,1320.4,1377.0,1439.1,1489.7,2174.6,2471.1,2644.4,2980.1,20288.8,34733.2,43927.0,55000
