#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      473.4  1000.0   173.5   249.7   272.8   397.8   446.6   471.8   491.5   512.1   543.4   596.9  2185.3 11871.0 39487.4   4977.8     5000
read      513.9   515.0   173.5   243.1   266.8   474.4   564.4   617.2   651.7   689.0   736.8   803.7  1051.3  4683.8 35139.9   9951.2    10000
read      579.7   610.1   173.5   244.5   271.0   521.5   636.4   708.0   757.0   811.6   874.2   976.5  1252.6  8467.7 28073.9  14980.2    15000
read      677.2   959.1   160.7   250.7   285.6   590.3   714.0   783.9   834.7   895.8   976.4  1101.4  1981.6 12542.3 35891.1  20011.2    20000
read      674.3   646.7   173.5   248.3   279.9   603.5   745.6   824.9   883.2   957.1  1054.0  1210.4  1756.1  8692.6 28379.8  24890.0    25000
read      700.7   772.5   173.5   248.7   281.3   629.8   780.5   856.2   912.0   982.3  1077.8  1234.9  1791.6 10219.3 30931.5  29933.2    30000
read      737.2   835.6   173.5   255.3   293.6   671.2   826.0   900.5   954.2  1019.9  1109.5  1263.8  2189.2 10291.3 37081.8  34946.2    35000
read      855.0   776.8   173.5   289.0   353.8   784.5   935.3  1019.3  1085.4  1166.6  1280.9  1530.9  2375.1 12223.1 29569.2  39957.4    40000
read     1474.2  1046.2   187.4  1026.9  1102.5  1276.2  1355.2  1409.6  1484.5  1910.2  2342.6  2530.5  2889.2 19321.2 32603.4  44660.8    45000
read     1357.1   851.6   160.7   956.5  1004.6  1151.8  1229.1  1288.7  1483.3  2055.0  2180.9  2317.7  2611.5 12347.5 30429.3  48520.8    50000
read     1495.7  1076.7   202.4  1092.0  1123.0  1266.5  1341.0  1382.2  1473.1  2203.5  2396.5  2537.3  2923.7 18512.3 32267.1  45256.1    55000
