#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      520.2  1256.8   173.5   248.0   271.3   394.5   447.8   477.6   500.4   528.1   565.3   639.7  3702.3 26125.5 39442.7   5021.8     5000
read      548.7   888.3   173.5   238.0   260.8   467.8   565.1   616.3   652.6   697.2   749.5   838.5  2039.1 10984.7 35127.8   9994.2    10000
read      578.0   571.5   173.5   242.3   268.6   519.1   631.2   700.8   749.7   803.6   866.7   966.1  1363.1  7597.6 25337.9  15005.8    15000
read      620.1   452.6   173.5   242.8   276.6   578.4   689.4   759.6   809.9   866.5   937.1  1046.3  1343.4  5029.5 16601.4  19964.4    20000
read      632.8   447.9   173.5   242.1   274.3   598.7   714.2   779.2   827.3   885.1   965.2  1079.7  1362.1  7254.0 13180.5  24926.2    25000
read      662.7   574.3   160.7   240.3   272.9   626.3   752.1   816.2   861.8   919.3   999.2  1134.5  1578.4  7725.0 24368.0  30068.8    30000
read      632.0   409.7   160.7   238.3   267.4   597.2   738.7   806.5   852.6   908.1   982.9  1097.6  1377.2  4939.5 12377.2  34888.6    35000
read      696.5   827.5   160.7   240.9   271.3   580.0   739.6   838.4   910.1   994.2  1107.2  1319.1  2128.7 10941.3 31591.8  40126.0    40000
read      677.6   636.4   160.7   243.5   279.2   604.6   761.9   843.2   902.2   973.5  1065.8  1222.5  1853.9  7997.8 25635.0  44961.0    45000
read     1121.0   847.3   173.5   488.2   638.9   994.8  1087.9  1170.1  1304.0  1611.9  1838.3  2019.2  2357.9 12604.5 30514.3  50044.2    50000
read     1292.4   874.7   173.5   930.3   964.8  1096.4  1163.6  1217.3  1327.5  1945.9  2088.8  2194.4  2468.1 12736.5 32320.6  51212.2    55000
