#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,481.8,838.6,173.5,246.2,272.0,405.7,455.6,481.6,500.3,523.4,551.3,613.3,2990.3,11159.0,31659.4,5025.8,5000
read,497.2,505.7,160.7,235.7,257.3,459.4,545.3,594.8,629.0,668.1,716.4,786.6,985.0,7453.7,29037.0,9866.2,10000
read,606.2,891.3,173.5,241.0,266.7,513.1,628.6,699.8,747.4,798.6,857.3,944.9,2084.4,12300.2,32950.3,15017.4,15000
read,605.7,669.1,173.5,239.3,266.8,537.7,653.5,726.8,782.0,843.6,916.8,1023.9,1474.3,8155.7,31297.3,20037.0,20000
read,613.9,587.4,160.7,240.6,269.6,559.5,677.3,747.4,802.3,867.3,949.4,1074.4,1462.8,7593.0,27349.6,25035.4,25000
read,694.4,974.9,160.7,241.8,273.3,615.8,746.0,813.2,863.1,926.3,1010.3,1152.1,1981.3,12839.5,36587.1,30005.4,30000
read,639.5,458.2,160.7,238.2,267.9,596.9,738.4,809.7,859.4,919.9,996.8,1124.9,1461.8,5404.5,16333.9,35021.5,35000
read,655.7,525.2,160.7,243.8,275.6,601.9,752.3,828.9,879.2,940.8,1024.4,1166.5,1637.7,6157.9,20767.2,40013.7,40000
read,717.9,610.1,173.5,257.8,301.8,664.1,808.8,884.8,941.2,1006.2,1089.8,1229.9,2078.2,8063.8,25708.1,44925.8,45000
read,1400.5,1002.5,173.5,992.0,1040.8,1189.2,1260.0,1317.0,1394.7,2056.7,2245.3,2369.1,2715.8,15949.0,31976.8,47450.6,50000
read,1305.4,1025.6,173.5,920.7,958.7,1086.5,1154.8,1203.2,1360.3,1947.8,2077.1,2179.6,2462.1,14403.7,34507.0,51422.4,55000
