#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,407.0,404.5,173.5,242.8,263.8,385.6,424.9,446.0,461.8,479.8,502.3,540.0,666.1,6055.4,20781.0,4956.2,5000
read,449.6,331.7,173.5,237.0,255.1,437.8,508.3,542.9,567.5,593.7,630.5,683.5,801.4,4807.9,9495.3,9995.3,10000
read,485.4,339.4,160.7,234.1,255.9,461.8,546.4,593.1,628.4,670.6,721.1,790.5,939.7,4008.6,13427.4,15029.4,15000
read,516.1,367.4,160.7,235.9,259.3,477.3,573.3,632.7,680.9,738.6,805.3,902.4,1108.1,4248.6,11292.3,20021.8,20000
read,542.2,300.3,173.5,237.3,265.1,516.8,606.2,663.3,710.1,767.4,837.6,929.9,1132.7,3160.4,12031.5,24939.8,25000
read,566.4,382.7,160.7,241.0,268.3,524.3,629.2,695.2,747.3,812.6,894.3,1018.8,1313.6,3978.5,11053.4,30096.6,30000
read,572.1,384.7,160.7,237.0,264.1,545.8,656.2,718.1,761.8,814.3,886.0,989.6,1184.1,3547.9,17003.5,34986.4,35000
read,564.0,333.5,160.7,235.6,261.3,509.2,625.9,703.9,763.9,836.2,926.9,1075.3,1369.2,1900.6,10177.1,39998.2,40000
read,589.2,336.9,160.7,243.3,276.0,561.3,675.8,740.1,786.6,841.0,911.6,1013.6,1238.9,3495.4,12248.3,45163.0,45000
read,604.8,392.6,160.7,246.2,280.9,563.0,691.9,762.4,811.3,869.5,947.2,1074.4,1350.2,2610.3,15079.2,49905.6,50000
read,639.9,369.2,160.7,267.6,313.3,585.9,720.4,799.8,857.6,926.3,1015.5,1160.6,1437.0,2136.1,13230.6,54953.6,55000
