#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      426.6   382.5   173.5   250.9   284.6   402.7   453.0   475.1   492.2   509.3   536.1   575.7   682.8  5561.8 15844.1   4949.4     5000
read      472.0   290.7   160.7   235.3   257.4   472.3   540.5   577.0   601.9   630.0   665.5   718.3   843.8  3494.1  9376.6   9995.2    10000
read      505.8   268.6   160.7   237.5   262.0   487.1   580.9   632.6   668.1   707.8   758.2   835.7  1001.8  3892.1  9759.6  15095.0    15000
read      549.0   368.8   160.7   237.0   264.2   509.7   611.3   675.1   727.1   791.3   865.0   965.0  1180.8  4024.6 16255.4  20073.6    20000
read      689.9  1133.0   160.7   243.3   277.2   565.7   675.3   748.7   814.4   889.5   981.7  1145.4  4071.7 14627.0 37118.3  24957.0    25000
read      648.5   749.8   160.7   237.3   267.9   561.6   686.2   768.3   833.4   910.6  1009.5  1196.4  2497.8  6546.3 32165.6  30037.6    30000
read      596.5   351.0   160.7   236.0   265.7   572.9   684.1   747.6   796.7   853.4   926.6  1033.8  1256.3  3657.6 12469.5  34927.4    35000
read      611.6   417.1   160.7   240.0   271.4   575.3   705.2   779.2   830.5   888.0   962.1  1074.0  1299.0  3978.5 17057.8  39948.8    40000
read      607.6   396.8   160.7   242.5   273.9   555.6   685.8   769.2   828.4   896.7   983.6  1105.8  1412.4  3616.7 13719.9  45104.9    45000
read      612.0   387.7   160.7   247.5   281.9   549.0   683.8   773.7   840.3   915.1  1005.0  1144.6  1437.0  3877.5 13483.2  49919.8    50000
read     1315.2   799.7   173.5   930.9   974.9  1128.2  1183.5  1251.0  1378.8  1988.4  2119.5  2242.6  2422.0 12293.0 29415.1  50709.8    55000
