#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      398.6   355.8   173.5   246.6   270.7   380.1   415.9   434.7   449.7   465.6   488.0   520.9   611.9  5023.8 14124.8   5055.4     5000
read      439.9   340.2   160.7   233.1   253.5   426.7   489.5   521.1   543.3   571.4   606.1   660.0   766.9  4952.7 12938.0   9957.0    10000
read      464.9   248.1   160.7   234.1   254.2   438.0   523.7   571.9   607.9   651.1   701.8   770.0   913.6  3787.4  7903.7  15031.0    15000
read      510.1   292.6   160.7   237.0   261.5   483.8   570.0   625.2   669.0   720.0   779.7   860.1  1030.3  2659.3 11524.4  19889.0    20000
read      543.1   379.3   160.7   237.1   265.5   516.3   599.9   654.8   700.7   758.2   829.0   920.4  1090.7  4125.1 12443.2  24940.4    25000
read      551.2   378.4   160.7   235.6   261.6   500.9   603.6   671.6   727.2   795.1   878.5  1007.8  1301.7  4507.5 13299.5  30058.0    30000
read      570.8   346.7   160.7   238.2   264.6   530.6   640.9   708.9   761.0   823.0   901.3  1015.0  1323.9  3675.7 12639.8  34962.2    35000
read      580.6   430.1   160.7   235.9   263.7   536.3   658.7   731.9   783.7   843.4   919.6  1041.4  1305.2  3057.3 16943.6  39930.6    40000
read      583.0   329.4   160.7   240.6   272.8   557.7   673.3   735.0   780.1   833.2   901.7  1004.4  1199.4  2181.1 10376.4  45097.6    45000
read      598.1   339.3   160.7   244.4   280.6   566.6   690.1   756.7   803.1   858.0   928.6  1040.6  1271.6  1965.7 12534.8  49931.6    50000
read     1018.8   646.9   148.8   385.8   501.6   961.1  1037.0  1084.3  1138.9  1331.0  1790.1  1965.3  2168.0  7825.2 24390.3  54456.8    55000
